doc	surface	type	start	link
1	1492: Conquest of Paradise	WORK		http://dbpedia.org/resource/1492%3A_Conquest_of_Paradise
1	Cristopher Columbus	PER		http://dbpedia.org/resource/Christopher_Columbus
2	Alphaville: A Strange Adventure of Lemmy Caution	WORK		http://dbpedia.org/resource/Alphaville_(band)
2	Jean-Luc Goddard	PER		http://dbpedia.org/resource/Jean-Luc_Godard
3	Arsène Lupin	PER		http://dbpedia.org/resource/Arsène_Lupin
4	Asterix & Obelix Take on Caesar	WORK		http://dbpedia.org/resource/Asterix_%26_Obelix_Take_On_Caesar
4	Astérix & Obélix contre César	WORK		http://dbpedia.org/resource/Asterix_%26_Obelix_Take_On_Caesar
4	Asterix	PER		http://dbpedia.org/resource/Asterix
4	Claude Zidi	PER		http://dbpedia.org/resource/Claude_Zidi
5	Banlieue 13	WORK		http://dbpedia.org/resource/District_13
5	District 13	WORK		http://dbpedia.org/resource/Fictional_world_of_The_Hunger_Games
6	Breathless	WORK		http://dbpedia.org/resource/Breathless_(1960_film)
6	Jean-Luc Goddard	PER		http://dbpedia.org/resource/Jean-Luc_Godard
6	À bout de souffle	WORK		http://dbpedia.org/resource/Breathless_(1960_film)
7	Clouds of Sils Maria	WORK		http://dbpedia.org/resource/Clouds_of_Sils_Maria
7	Sils Maria	WORK		http://dbpedia.org/resource/Clouds_of_Sils_Maria
7	Olivier Assayas	PER		http://dbpedia.org/resource/Olivier_Assayas
7	Juliette Binoche	PER		http://dbpedia.org/resource/Juliette_Binoche
7	Kristen Stewart	PER		http://dbpedia.org/resource/Kristen_Stewart
7	Chloë Moretz	PER		http://dbpedia.org/resource/Chloë_Grace_Moretz
8	eXistenZ	WORK		http://dbpedia.org/resource/Existenz
8	David Cronenbeg	PER		http://dbpedia.org/resource/David_Cronenberg
8	Jennifer Jason Leigh	PER		http://dbpedia.org/resource/Jennifer_Jason_Leigh
8	Jude Law 	PER		http://dbpedia.org/resource/Jude_Law
8	Ian Holm	PER		http://dbpedia.org/resource/Ian_Holm
8	Callum Keith Rennie	PER		http://dbpedia.org/resource/Callum_Keith_Rennie
8	Don McKellar	PER		http://dbpedia.org/resource/Don_McKellar
8	Cristopher Eccleston	PER		http://dbpedia.org/resource/Christopher_Eccleston
9	Adèle and the Secret of the Mummy	WORK		http://dbpedia.org/resource/Mummy
9	Les aventures extraordinaires d'Adèle Blanc-Sec	WORK		http://dbpedia.org/resource/The_Extraordinary_Adventures_of_Adèle_Blanc-Sec
9	Luc Besson	PER		http://dbpedia.org/resource/Luc_Besson
9	Jacques Tardi	PER		http://dbpedia.org/resource/Jacques_Tardi
10	La Haine	WORK		http://dbpedia.org/resource/La_Haine
10	Hate	WORK		NIL
10	Mathieu Kassovitz	PER		http://dbpedia.org/resource/Mathieu_Kassovitz
10	Paris	LOC		http://dbpedia.org/resource/Paris
10	Seine-Saint-Denis	LOC		http://dbpedia.org/resource/Seine-Saint-Denis
11	Holy Motors	WORK		http://dbpedia.org/resource/Holy_Motors
11	Leos Carax	PER		http://dbpedia.org/resource/Leos_Carax
11	Denis Lavant	PER		http://dbpedia.org/resource/Denis_Lavant
11	Édith Scob	PER		http://dbpedia.org/resource/Édith_Scob
11	Kylie Minogue	PER		http://dbpedia.org/resource/Kylie_Minogue
12	Intouchables	WORK		http://dbpedia.org/resource/The_Intouchables
13	Joyeux Noël	WORK		http://dbpedia.org/resource/The_Christmas_Song
13	Merry Christmas	WORK		http://dbpedia.org/resource/Christmas
14	A Man and a Woman	WORK		http://dbpedia.org/resource/A_Man_and_a_Woman
14	Claude Lelouch	PER		http://dbpedia.org/resource/The_Extraordinary_Adventures_of_Adèle_Blanc-Sec
14	Anouk Aimee	PER		http://dbpedia.org/resource/Anouk_Aimée
14	Jean-Louis Trintignant	PER		http://dbpedia.org/resource/Jean-Louis_Trintignant
15	Nikita	WORK		http://dbpedia.org/resource/La_Femme_Nikita
15	Luc Besson	PER		http://dbpedia.org/resource/Luc_Besson
15	La Femme Nikita	WORK		http://dbpedia.org/resource/La_Femme_Nikita
16	OSS 117 is not Dead 	WORK		http://dbpedia.org/resource/OSS_117
16	OSS 117 n'est pas mort	WORK		NIL
16	Jean Sacha	PER		NIL
16	Jacques Berland	PER		http://dbpedia.org/resource/Lucien_Berland
16	Jean Lévitte	PER		NIL
17	Personal Shopper	WORK		http://dbpedia.org/resource/Personal_Shopper
17	Olivier Assayas	PER		http://dbpedia.org/resource/Olivier_Assayas
17	Kristen Stewart	PER		http://dbpedia.org/resource/Kristen_Stewart
18	Playtime	WORK		http://dbpedia.org/resource/Playtime
18	Play Time	WORK		http://dbpedia.org/resource/Playtime
18	Jacques Tati	PER		http://dbpedia.org/resource/Jacques_Tati
19	The Professional	WORK		http://dbpedia.org/resource/L%C3%A9on:_The_Professional
19	Léon	WORK		http://dbpedia.org/resource/L%C3%A9on:_The_Professional
19	Luc Besson 	PER		http://dbpedia.org/resource/Luc_Besson
19	Jean Reno	PER		http://dbpedia.org/resource/Jean_Reno
19	Gary Oldman	PER		http://dbpedia.org/resource/Gary_Oldman
19	Natalie Portman	PER		http://dbpedia.org/resource/Natalie_Portman
20	Le Professionnel	WORK		http://dbpedia.org/resource/The_Professional_(1981_film)
20	The Professional	WORK		NIL
20	Georges Lautner	PER		http://dbpedia.org/resource/Georges_Lautner
20	Les Tontons flingeurs fame	WORK		NIL
20	Jean-Paul Belmondo	PER		http://dbpedia.org/resource/Jean-Paul_Belmondo
20	Jean Desailly	PER		http://dbpedia.org/resource/Jean_Desailly
20	Robert Hossein	PER		http://dbpedia.org/resource/Robert_Hossein
21	Purple Noon	WORK		http://dbpedia.org/resource/Purple_Noon
21	Plein Soleil 	WORK		http://dbpedia.org/resource/Purple_Noon
21	Full Sun	WORK		http://dbpedia.org/resource/Sun
21	Rene Clement	PER		http://dbpedia.org/resource/René_Clément
23	Le Samouraï	WORK		http://dbpedia.org/resource/Le_Samouraï
23	The God Son	PER		NIL
23	Cop Out 	PER		http://dbpedia.org/resource/Cop_Out_(2010_film)
23	Cop Out 	PER		http://dbpedia.org/resource/Cop_Out_(2010_film)
23	Jean-Pierre Melville	PER		http://dbpedia.org/resource/Jean-Pierre_Melville
23	Alain Delon	PER		http://dbpedia.org/resource/Alain_Delon
24	Swimming Pool	WORK		http://dbpedia.org/resource/Swimming_Pool_(2003_film)
24	François Ozon	PER		http://dbpedia.org/resource/François_Ozon
24	Charlotte Rampling	PER		http://dbpedia.org/resource/Charlotte_Rampling
24	Ludivine Sagnier	PER		http://dbpedia.org/resource/Ludivine_Sagnier
25	Taxi	WORK		http://dbpedia.org/resource/Taxicab
25	Luc Besson	PER		http://dbpedia.org/resource/Luc_Besson
25	Gérard Pirès	PER		http://dbpedia.org/resource/Gérard_Pirès
26	Agnes and His Brothers	WORK		http://dbpedia.org/resource/Agnes_and_His_Brothers
26	Agnes und seine Brüder	WORK		http://dbpedia.org/resource/Agnes_and_His_Brothers
26	Oskar Roehler	PER		http://dbpedia.org/resource/Oskar_Roehler
27	The American Friend	WORK		http://dbpedia.org/resource/The_American_Friend
27	Der amerikanische Freund	WORK		http://dbpedia.org/resource/The_American_Friend
27	Wim Wenders	PER		http://dbpedia.org/resource/Wim_Wenders
28	The Baader Meinhof Complex	WORK		http://dbpedia.org/resource/The_Baader_Meinhof_Complex
28	Der Baader Meinhof Complex	WORK		http://dbpedia.org/resource/The_Baader_Meinhof_Complex
28	Uli Edel 	PER		http://dbpedia.org/resource/Uli_Edel
29	Das Boot	WORK		http://dbpedia.org/resource/Das_Boot
29	The Boat	WORK		http://dbpedia.org/resource/Das_Boot
29	Lothar-Günther Buchheim	PER		http://dbpedia.org/resource/Lothar-Günther_Buchheim
29	U-96	OTHER		http://dbpedia.org/resource/German_submarine_U-96_(1940)
30	The Counterfeiters	WORK		http://dbpedia.org/resource/The_Counterfeiters_(2007_film)
30	Die Fälscher	WORK		http://dbpedia.org/resource/The_Counterfeiters_(2007_film)
30	Nazi Operation Bernhard	OTHER		http://dbpedia.org/resource/Nazism
31	Das Experiment	WORK		http://dbpedia.org/resource/Das_Experiment
31	Oliver Hirschbiegel	PER		http://dbpedia.org/resource/Oliver_Hirschbiegel
31	Downfall	WORK		http://dbpedia.org/resource/Operation_Downfall
32	Knockin' on Heaven's Door	WORK		http://dbpedia.org/resource/Knockin
32	Martin Brest	PER		http://dbpedia.org/resource/List_of_Redwall_characters
32	Til Schweiger	PER		http://dbpedia.org/resource/Til_Schweiger
32	Rudi Wurlitzer	PER		http://dbpedia.org/resource/Wurlitzer
32	Jan Josef Liefers	PER		http://dbpedia.org/resource/Jan_Josef_Liefers
33	Fritz Lang	PER		http://dbpedia.org/resource/Fritz_Lang
34	Michael Ende			http://dbpedia.org/resource/Michael_Ende
34	The Neverending Story	WORK		http://dbpedia.org/resource/The_Neverending_Story
34	The Neverending Story	WORK		http://dbpedia.org/resource/The_NeverEnding_Story_(film)
34	Ende	PER		http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Ende
35	Perfume: The Story of a Murderer	WORK		http://dbpedia.org/resource/Perfume
35	Tom Tykwer	PER		http://dbpedia.org/resource/Tom_Tykwer
35	Run Lola Run	WORK		http://dbpedia.org/resource/Run_Lola_Run
36	The Lives of Others	WORK		http://dbpedia.org/resource/The_Lives_of_Others
36	Das Leben der Anderen	WORK		http://dbpedia.org/resource/The_Lives_of_Others
36	Forian Henckel von Donnersmarck	PER		http://dbpedia.org/resource/Florian_Henckel_von_Donnersmarck 
37	Die Welle	WORK		http://dbpedia.org/resource/The_Wave_(2008_film)
37	The Wave	WORK		http://dbpedia.org/resource/The_Wave_(2008_film)
37	Ron Jones	PER		http://dbpedia.org/resource/Ron_Jones_(composer)
37	Third Wave	OTHER		NIL
37	Dennis Gansel	PER		http://dbpedia.org/resource/Dennis_Gansel
37	Germany	LOC		http://dbpedia.org/resource/Germany
38	Zurich	WORK		http://dbpedia.org/resource/Zurich_(film)
38	Und morgen Mittag bin ich tot	WORK		http://dbpedia.org/resource/Zurich_(film)
38	And tomorrow at noon I'll be dead	WORK		http://dbpedia.org/resource/Zurich_(film)
39	The White Ribbon	WORK		http://dbpedia.org/resource/The_White_Ribbon
39	Das Weiße Band - Eine Kindergeschichte	WORK		http://dbpedia.org/resource/The_White_Ribbon
39	Michael Haneke	PER		http://dbpedia.org/resource/Michael_Haneke
40	We Are the Night	WORK		http://dbpedia.org/resource/We_Are_the_Night_(film)
41	The Edukators	WORK		http://dbpedia.org/resource/The_Edukators
41	Die fetten Jahre sind vorbei	WORK		http://dbpedia.org/resource/The_Edukators
41	The golden years are over	WORK		http://dbpedia.org/resource/The_Edukators
41	Hans Weingartner	PER		NIL
42	Wim Wenders	PER		http://dbpedia.org/resource/Wim_Wenders
42	Der Himmel über Berlin	WORK		http://dbpedia.org/resource/Wings_of_Desire
42	The Heavens Above Berlin	WORK		http://dbpedia.org/resource/Wings_of_Desire
43	Until the End of the World 	WORK		NIL
43	Wim Wenders	PER		http://dbpedia.org/resource/Wim_Wenders
43	Solveig Dommartin	PER		http://dbpedia.org/resource/Solveig_Dommartin
43	William Hurt	PER		http://dbpedia.org/resource/William_Hurt
43	Max von Sydow	PER		http://dbpedia.org/resource/Max_von_Sydow
44	The Thirteenth Floor 	WORK		http://dbpedia.org/resource/The_Thirteenth_Floor
