doc	surface	type	start	link
1	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
1	Patrick Stewart	PER		http://dbpedia.org/resource/Patrick_Stewart
1	Captain Jean-Luc Picard	PER		http://dbpedia.org/resource/Jean-Luc_Picard
1	Star Trek: The Next Generation	WORK		http://dbpedia.org/resource/Star_Trek:_The_Next_Generation
2	Star Trek: The Next Generation	WORK		http://dbpedia.org/resource/Star_Trek:_The_Next_Generation
2	Gene Roddenberry	PER		http://dbpedia.org/resource/Gene_Roddenberry
2	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
3	Star Trek franchise	WORK		http://dbpedia.org/resource/Star_Trek
3	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
3	Star Trek: The Original Series	WORK		http://dbpedia.org/resource/Star_Trek
4	Star Trek: Deep Space Nine	WORK		http://dbpedia.org/resource/Star_Trek:_Deep_Space_Nine
4	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
4	The Next Generation	WORK		http://dbpedia.org/resource/Star_Trek:_The_Next_Generation
4	UPN 	ORG		http://dbpedia.org/resource/UPN
4	Voyager	WORK		http://dbpedia.org/resource/Star_Trek:_Voyager
5	Star Trek: Voyager	WORK		http://dbpedia.org/resource/Star_Trek
5	Next Generation	WORK		http://dbpedia.org/resource/Star_Trek:_The_Next_Generation
5	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
6	Star Trek: Picard	WORK		http://dbpedia.org/resource/Star_Trek:_Picard
6	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
6	Patrick Stewart	PER		http://dbpedia.org/resource/Saint_Patrick
6	Jean-Luc Picard	PER		http://dbpedia.org/resource/Jean-Luc_Picard
6	Star Trek: The Next Generation	WORK		http://dbpedia.org/resource/Star_Trek:_The_Next_Generation
6	Star Trek: Nemesis	WORK		http://dbpedia.org/resource/Star_Trek:_Nemesis
6	Picard	PER		http://dbpedia.org/resource/Jean-Luc_Picard
6	Admiral	ROLE		http://dbpedia.org/resource/Admiral
6	Romulus	LOC		NIL
7	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
7	Star Trek film series	WORK		http://dbpedia.org/resource/Star_Trek_(film_series)
8	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
9	Star Trek: 25th Anniversary	WORK		http://dbpedia.org/resource/Star_Trek:_25th_Anniversary_(computer_game)
9	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
9	Interplay	ORG		http://dbpedia.org/resource/Interplay_Entertainment
9	The Original Series	WORK		http://dbpedia.org/resource/Star_Trek
10	Sherlock Holmes	WORK		http://dbpedia.org/resource/Sherlock_Holmes
10	The Man from Uncle 	WORK		http://dbpedia.org/resource/The_Man_from_U.N.C.L.E.
10	Star Trek	WORK		http://dbpedia.org/resource/Star_Trek
10	Star Trek: The Original Series	WORK		http://dbpedia.org/resource/Star_Trek
11	Doctor Who	WORK		http://dbpedia.org/resource/Doctor_Who
11	BBC TV	ORG		http://dbpedia.org/resource/BBC
11	Doctor Who Expanded Universe	WORK		http://dbpedia.org/resource/Doctor_Who
12	Torchwood	WORK		http://dbpedia.org/resource/Torchwood
12	Doctor Who	WORK		http://dbpedia.org/resource/Doctor_Who
12	Whoniverse	WORK		http://dbpedia.org/resource/Whoniverse
13	Class	WORK		http://dbpedia.org/resource/Class_(2016_TV_series)
13	Doctor Who	WORK		http://dbpedia.org/resource/Doctor_Who
14	Doctor Who	WORK		http://dbpedia.org/resource/Doctor_Who
