doc	surface	type	start	link
1	Stuart Brown	PER		http://dbpedia.org/resource/House_of_Stuart
1	Ahoy	PER		http://dbpedia.org/resource/Ahoy_Rotterdam
1	XobxAhoy	PER		NIL
2	Alex T. Corea	PER		http://dbpedia.org/resource/Alex_Russo
2	The Attack	WORK		NIL
3	Alex Day	PER		http://dbpedia.org/resource/Alex_Day
3	England	LOC		http://dbpedia.org/resource/England
4	Anna Akana	PER		http://dbpedia.org/resource/Anna_Akana
5	The Lorerunner	PER		NIL
5	Achengeia	PER		NIL
5	Twitch	WORK		http://dbpedia.org/resource/Twitch.tv
6	Barats and Bereta	ORG		NIL
7	US	LOC		http://dbpedia.org/resource/United_States
7	Benjamin Richard "Yahtzee" Croshaw	PER		http://dbpedia.org/resource/Benjamin
7	Zero Punctuation	WORK		http://dbpedia.org/resource/Zero_Punctuation
8	Bill Wurtz	PER		NIL
9	Blender	WORK		http://dbpedia.org/resource/Blender
9	Blender Foundation	ORG		http://dbpedia.org/resource/Blender_Foundation
10	YouTube	ORG		http://dbpedia.org/resource/YouTube
11	Bradican Jones	PER		NIL
11	The Cinema Snob	PER		http://dbpedia.org/resource/The_Cinema_Snob
11	Kung Tai Ted	PER		http://dbpedia.org/resource/Tai_peoples
11	80's Dan	PER		NIL
11	Brad Jones	PER		http://dbpedia.org/resource/The_Cinema_Snob
11	Jack Nicholson	PER		http://dbpedia.org/resource/Jack_Nicholson
12	Brendan Blaber	PER		http://dbpedia.org/resource/Brendan
12	Jello Apocalypse	PER		http://dbpedia.org/resource/Apocalypse
12	YouTube	ORG		http://dbpedia.org/resource/YouTube
13	BroFilms	PER		NIL
13	YouTube	ORG		http://dbpedia.org/resource/YouTube
14	The Brother Chaps	WORK		NIL
14	Mike Chapman	PER		http://dbpedia.org/resource/Mike_Chapman
14	Matt Chapman	PER		http://dbpedia.org/resource/Matt_Hardy
14	Homestar Runner	WORK		http://dbpedia.org/resource/Homestar_Runner
14	Mike	PER		NIL
14	Matt	PER		http://dbpedia.org/resource/Matt_Hardy
15	Caillou Pettis	PER		http://dbpedia.org/resource/Caillou
15	YouTube	ORG		http://dbpedia.org/resource/YouTube
16	Cinema Sins	WORK		NIL
16	Jeremy Scott	PER		http://dbpedia.org/resource/Jeremy_Scott
16	Chris Atkinson	PER		http://dbpedia.org/resource/Chris_Atkinson
17	CLW Entertainment	ORG		http://dbpedia.org/resource/Chittaranjan_Locomotive_Works
17	Collin Weiler	PER		http://dbpedia.org/resource/James_Edward_Collin
18	Kathrin Fricke	PER		NIL
18	coldmirror	PER		NIL
18	Kaddi	PER		NIL
18	Kreatur im Spiegel	PER		NIL
18	Harry Potter 	PER		http://dbpedia.org/resource/Harry_Potter
19	ComicTropes	WORK		NIL
19	YouTube	ORG		http://dbpedia.org/resource/YouTube
19	DC Comics 	ORG		http://dbpedia.org/resource/DC_Comics
19	Marvel Comics	ORG		http://dbpedia.org/resource/Marvel_Comics
20	Counter Arguments	WORK		NIL
20	YouTube	ORG		http://dbpedia.org/resource/YouTube
21	Marzia Bisognin	PER		http://dbpedia.org/resource/Marzia
