doc|doctype|text|
1|Business|Berkshire Hathaway (/ˈbɜːrkʃər/) is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States.|
2|Business|JPMorgan Chase is ranked by S&P Global as the largest bank in the United States and the seventh largest bank in the world by total assets, with total assets of US$3.213 trillion.|
3|Business|Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California.|
4|Business|Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998.|
5|Business|Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in Silicon Valley. It is the world's largest and highest-valued semiconductor chip manufacturer on the basis of revenue,[4][5] and is the inventor of the x86 series of microprocessors, the processors found in most personal computers (PCs).|
6|Business|Wells Fargo & Company is an American multinational financial services company headquartered in San Francisco, California, with managerial offices throughout the United States and overseas.|
7|Business|Citigroup Inc. or Citi (stylized as citi) is an American multinational investment bank and financial services corporation headquartered in New York City.|
8|Business|Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average.|
9|Business|Pfizer Inc. (/ˈfaɪzər/) is an American multinational pharmaceutical corporation headquartered in New York City. In 2012, it was one of the world's largest pharmaceutical companies and ranked 57 on the 2018 Fortune 500 list of the largest United States corporations by total revenue.|
10|Business|Johnson & Johnson is an American multinational corporation founded in 1886 that develops medical devices, pharmaceutical, and consumer packaged goods.|
11|Business|Walmart Inc. ( /ˈwɔːlmɑːrt/; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores, headquartered in Bentonville, Arkansas.|
12|Business|Exxon Mobil Corporation, doing business as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas.|
13|Business|The Federal National Mortgage Association (FNMA), commonly known as Fannie Mae, is a United States government-sponsored enterprise (GSE) and, since 1968, a publicly traded company.|
14|Business|AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered[7] but headquartered at Whitacre Tower in Downtown Dallas, Texas.|
15|Business|UnitedHealth Group Incorporated is an American for-profit managed health care company based in Minnetonka, Minnesota.|
16|Business|Comcast Corporation (formerly registered as Comcast Holdings) is an American telecommunications conglomerate headquartered in Philadelphia, Pennsylvania.|
17|Business|Visa Inc. (/ˈviːzə/ or /ˈviːsə/) (also known as Visa, stylized as VISA) is an American multinational financial services corporation headquartered in Foster City, California, United States. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards.|
18|Business|BOX Options Exchange, LLC (BOX) is an automated exchange operated by the TMX Group and owned by TMX and a consortium of broker-dealers.|
19|Business|The Chicago Board Options Exchange (CBOE), located at 400 South LaSalle Street in Chicago, is the largest U.S. options exchange with annual trading volume that hovered around 1.27 billion contracts at the end of 2014.|
20|Business|NYSE Arca, previously known as ArcaEx, an abbreviation of Archipelago Exchange, is an exchange on which both stocks and options are traded.|
21|Business|London Stock Exchange is a stock exchange in the City of London, England.|
22|Business|Euronext operates regulated equity and derivatives markets and is the largest centre for debt and funds listings in the world.|
23|Business|The Toronto Stock Exchange likely descended from the Association of Brokers, a group formed by Toronto businessmen on July 26, 1852.|
24|Business|The Shenzhen Stock Exchange (SZSE; Chinese: 深圳证券交易所) is a stock exchange based in the city of Shenzhen, in the People's Republic of China.|
25|Business|While BSE Ltd is now synonymous with Dalal Street, it was not always so.|
26|Business|On 3 May 2000 it was announced that the London Stock Exchange would merge with Deutsche Börse, though the deal fell through before the merger could be realized.|
27|Business|Coinbase is a digital currency exchange headquartered in San Francisco, California, United States.|
28|Business|Bitstamp is a bitcoin exchange based in Luxembourg. It allows trading between USD currency and bitcoin cryptocurrency.|
29|Business|Bitfinex is a cryptocurrency exchange owned and operated by iFinex Inc., which is headquartered in Hong Kong and registered in the British Virgin Islands.|
30|Business|As of 2020, Kraken is available to residents of 48 U.S. states and 176 countries, and lists 40 cryptocurrencies available for trade.|
31|Business|In 1887 a German-born, long-time Merck employee, Theodore Weicker, went to the United States to represent the Darmstadt firm.|
32|Business|Roche is one of the few companies increasing their dividend every year, for 2018 as the 32nd consecutive year.|
33|Business|Sinopharm was ranked 205th in 2016 Fortune Global 500 list.|
34|Business|Bayer AG (/ˈbeɪ.ər, ˈbaɪ.ər/; German: [ˈbaɪɐ]) is a German multinational pharmaceutical and life sciences company and one of the largest pharmaceutical companies in the world.|
35|Business|Novartis International AG is a Swiss multinational pharmaceutical company based in Basel, Switzerland. It is one of the largest pharmaceutical companies by both market capitalization and sales.|
36|Business|The merger was completed in December that year, forming GlaxoSmithKline (GSK).|
37|Business|Sanofi sought support for its internal cancer research program and also took on an obligation to acquire Warp Drive if certain milestones were met.|
38|Business|Bristol Myers Squibb (BMS) is an American pharmaceutical company, headquartered in New York City.|
39|Business|AstraZeneca has a portfolio of products for major disease areas including cancer, cardiovascular, gastrointestinal, infection, neuroscience, respiratory and inflammation.|
40|Business|In October 2011, Gilead broke ground on a massive multi-year expansion of its 17-building headquarters campus in Foster City.|
41|Business|Ford introduced methods for large-scale manufacturing of cars and large-scale management of an industrial workforce using elaborately engineered manufacturing sequences typified by moving assembly lines; by 1914, these methods were known around the world as Fordism.|
42|Business|Chevron Corporation is an American multinational energy corporation.|
43|Business|General Motors led global annual vehicle sales for 77 consecutive years from 1931 through 2007, longer than any other automaker, and is still among the world's largest automakers by vehicle unit sales.|
44|Business|GE introduced the first set of superchargers during World War I, and continued to develop them during the interwar period. |
45|Business|Dell Technologies has products and services in the field of scale-out architecture, converged infrastructure and private cloud computing.|
46|Business|Target Corporation is an American retail corporation.|
47|Business|In the 1880s technologies emerged that would ultimately form the core of International Business Machines (IBM).|
48|Business|By 1933 most of the subsidiaries had been merged into one company, IBM.|
49|Business|In 2019, Boeing's global reputation, commercial business, and financial rating suffered after the 737 MAX was grounded worldwide following two fatal crashes in late 2018 and early 2019.|
50|Business|United Parcel Service (shortened in initials as UPS; stylized in lowercase) is an American multinational package delivery and supply chain management company.|
51|Business|FedEx is also one of the top contractors of the US government.|
52|Business|P&G is incorporated in Ohio.|
53|Business|As of January 26, 2012, 22 of PepsiCo's brands generated retail sales of more than $1 billion, and the company's products were distributed across more than 200 countries, resulting in annual net revenues of $43.3 billion.|
54|Business|Prudential Financial is the largest insurance company in the United States, with total assets amounting to approximately 1.456 trillion U.S. dollars.|
55|Business|Lockheed Martin is one of the largest companies in the aerospace, military support, security, and technologies industry. It is the world's largest defense contractor, based on revenue for fiscal year 2014.|
56|Business|Goldman Sachs was founded in New York City in 1869 by Marcus Goldman.|
57|Business|HP develops personal computers (PCs), printers and related supplies, as well as 3D Printing solutions.|
58|Business|Cisco's initial product has roots in Stanford University's campus technology.|
59|Business|As of January 1, 2019, AIG companies employed 49,600 people.|
60|Business|In 2016, credit cards using the American Express network accounted for 22.9% of the total dollar volume of credit card transactions in the United States.|
61|Business|Liberty Mutual Group is an American diversified global insurer and the third-largest property and casualty insurer in the United States.|
62|Business|General Dynamics Corporation (GD) is an American aerospace and defense corporation.|
63|Business|NIKE, Inc. (/ˈnaɪki/) is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.|
64|Business|The company produces Coca-Cola, invented in 1886 by pharmacist John Stith Pemberton.|
65|Business|During and after the Vietnam Era, Honeywell's defense division produced a number of products, including cluster bombs, missile guidance systems, napalm, and land mines.|
66|Business|For the fiscal year 2017, Exelon reported earnings of US$3.770 billion, with an annual revenue of US$33.531 billion, an increase of 6.9% over the previous fiscal cycle.|
67|Business|The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods.|
68|Business|In March 2013, U.S. Bancorp announced that it was acquiring the $57 billion municipal bond trustee business from Deutsche Bank.|
69|Business|Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington.|
70|Business|One of the consequences of this rebranding is that several malls have two Macy's stores.|
71|Business|The new Kraft Heinz Company became the world's fifth-largest food and beverage company and the third-largest in the United States.|
72|Business|After 11 years in the market, Tesla ranked as the world's best-selling plug-in and battery electric passenger car manufacturer in 2019, with a market share of 17% of the plug-in segment and 23% of the battery electric segment.|
73|Business|Qualcomm was operating at a loss in the 1990s due to its investment in CDMA research.|
74|Business|The word AMGen is a portmanteau of the company's original name, Applied Molecular Genetics, which became the official name of the company in 1983 (three years after incorporation and coincident with its initial public offering).|
75|Business|Halliburton Company is an American multinational corporation. |
76|Business|However, in 2018 DuPont has been fined over $ 3 million for environmental violation.|
