docno|doctype|text|
1|Climate|Soylent Green (1973), film directed by Richard Fleischer and starring Charlton Heston. Set in a dystopian future of dying oceans and year-round humidity due to the greenhouse effect, resulting in suffering from pollution, poverty, overpopulation and depleted resources.|
2|Climate|Waterworld (1995) starring Kevin Costner. Set in a future world, where the polar ice caps have melted due to global warming and the Earth is almost entirely covered with water.|
3|Climate|The Arrival (1996), starring Charlie Sheen. Extraterrestrial aliens attempt to secretly cause global warming and thereby terraform Earth into an environment more suited to their needs.|
4|Climate|A.I. Artificial Intelligence (2001), set in climate changed world near flooded ruins of New York City, where global warming has led to ecological disasters all over the world in the mid-22nd century.|
5|Climate|The Day After Tomorrow (2004) starring Dennis Quaid. An abrupt shutdown of thermohaline circulation causes catastrophic climate change, plunging the Earth into a new ice age.|
6|Climate|An Inconvenient Truth is an American documentary film made in 2006 directed by Davis Guggenheim which covers former United States Vice President Al Gore's campaign related to raising awareness about global warming.|
7|Climate|The 11th Hour (2007), created, produced and narrated by Leonardo DiCaprio.|
8|Climate|The Age of Stupid (2009), drama-documentary-animation hybrid starring Pete Postlethwaite as a man living alone in the devastated world of 2055, watching archive footage from 2008 and asking "Why didn't we stop climate change when we had the chance?"|
9|Climate|Earth 2100 (2009), predictions of possible attempts at adaptation to and mitigation of the effects of continuing global warming.|
10|Climate|Carbon Nation, a 2010 documentary film.|
11|Climate|Snowpiercer is a 2014 fictional film regarding problematic climate engineering attempt|
12|Climate|First Reformed is a 2017 film in which an American pastor discovers the causes and effects of climate change and attempts to take violent action against those he considers responsible.|
13|Climate|An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It is a 2006 book by Al Gore released in conjunction with the film An Inconvenient Truth. Based on Gore's lecture tour on the topic of global warming this book elaborates upon points offered in the film.|
14|Climate|"The Inner Light" (1992) - Jean-Luc Picard lives a lifetime on a planet experiencing Global Warming and aridification. Ultimately, the climate change becomes serious enough to threaten all life on the planet. This Hugo Award winner is among the 5 most popular out of all 178 episodes in the TNG series.|
15|Climate|The 1987 Teenage Mutant Ninja Turtles cartoon has four episodes dealing with global warming.|
16|Climate|The 1980s Transformers animated series had at least one global-warming themed episode: "The Revenge of Bruticus".|
17|Climate|The TV series Utopia is a violent thriller about a fictional conspiracy that has a number of secret agents embedded in key places in government and industry.|
18|Climate|Teenage Mutant Ninja Turtles Adventures from Archie Comics. Set in their present (1980s/1990s), but also including time travels to a future, in which New York City is flooded because of global warming and the greenhouse effect.|
19|Climate|Civilization II is a strategy game released in 1996, in which the pollution created by industrial production and transportation, if left unchecked, leads to desertification.|
20|Climate|In 2008, the TamaTown website featured a game that taught children how to prevent global warming.|
21|Climate|A 2020 study in PNAS found that newspapers tended to give greater coverage of press releases that opposed action on climate change than those that supported action. The study attributes it to false balance.|
22|Climate|MIT meteorologist Kerry Emanuel wrote that labeling someone as an "alarmist" is "a particularly infantile smear considering what is at stake."|
23|Climate|Some media reports have used alarmist tactics to challenge the science related to global warming by comparing it with a purported episode of global cooling.|
24|Climate|As highlighted above, media coverage in the United States during the Bush Administration often emphasized and exaggerated scientific uncertainty over climate change, reflecting the interests of the political elite.|
25|Climate|On the other hand, Beck suggests that a major benefit of global media is that it brings distant issues within our consciousness.|
26|Climate|For example, Bill McKibben, an environmental activist, provides one approach to inspiring action: a war-like mobilization, where climate change is the enemy.|
27|Climate|These popular movements usually are neglected by the United States due to corporate relationships within the political sphere of influence.|
28|Climate|The discourse was dominated by matters of government responsibility, policy-making, policy measures for mitigation, and ways to mitigate climate change; with the issue coverage by mass media outlets continuing to act as an important means of communicating environmental concerns to the general public, rather than introducing new ideas about the topic itself.|
29|Climate|Across various nations, including Canada, there has been an increased effort in the use of celebrities in climate change coverage, which is able to gain audience attention, but in turn, it reinforces individualized rather than structural interpretations of climate change responsibility and solutions .|
30|Climate|In Japan, a study of newspaper coverage of climate change from January 1998 to July 2007 found coverage increased dramatically from January 2007.|
31|Climate|The popular media in New Zealand often give equal weight to those supporting anthropogenic climate change and those who deny it. This stance is out of step with the findings of the scientific community where the vast majority support the climate change scenarios.|
32|Climate|The IPCC Assessment Reports in 1995 and in 2001 established an increasingly strong scientific consensus, yet the media continued to present the science as contentious.|
33|Climate|The most watched news network in the United States, Fox News, most of the time promotes climate misinformation and employs tactics that distract from the urgency of global climate change, according to a 2019 study by Public Citizen.|
34|Climate|It has been suggested that the association of climate change with the Arctic in popular media may undermine effective communication of the scientific realities of anthropogenic climate change.|
35|Climate|As a result of the Trump Presidency, media coverage on climate change is expected to decline during his term as president.|
36|Climate|Climate change communication research frequently studies the effectiveness of that media. Some researchers and journalists believe that media coverage of political issues is adequate and fair, while a few feel that it is biased.|
37|Climate|Media attention is especially high in carbon dependent countries with commitments under the Kyoto Protocol.|
38|Climate|A study that tracked press reports about a climate change article in the journal Nature found that "results and conclusions of the study were widely misrepresented, especially in the news media, to make the consequences seem more catastrophic and the timescale shorter."|
39|Climate|Historian Michael Parenti, for instance, alleges that the American media serves corporate interests by "inventing reality."|
40|Climate|Ever-strengthening scientific consensus on climate change means that skepticism is becoming less prevalent in the media (although the email scandal in the build up to Copenhagen reinvigorated climate skepticism in the media).|
41|Climate|Jules Verne's 1889 novel The Purchase of the North Pole imagines climate change due to tilting of Earth's axis.|
42|Climate|Several well-known dystopian works by British author J. G. Ballard deal with climate-related natural disasters: In The Wind from Nowhere (1961), civilization is reduced by persistent hurricane-force winds, and The Drowned World (1962) describes a future of melted ice-caps and rising sea-levels caused by solar radiation.|
43|Climate|Michael Crichton's State of Fear (2004), a techno-thriller portrays climate change as "a vast pseudo-scientific hoax" and is critical of scientific opinion on climate change.|
44|Climate|In Oryx and Crake Atwood presents a world where "social inequality, genetic technology and catastrophic climate change, has finally culminated in some apocalyptic event".|
45|Climate|Robinson's climate-themed novel, titled New York 2140, was published in March 2017. It gives a complex portrait of a coastal city that is partly underwater and yet has successfully adapted to climate change in its culture and ecology.|
46|Climate|Ian McEwan's Solar (2010) follows the story of a physicist who discovers a way to fight climate change after managing to derive power from artificial photosynthesis.|
47|Climate|Barbara Kingsolver's novel, Flight Behavior (2012), employs environmental themes and highlights the potential effects of global warming on the monarch butterfly.|
48|Climate|Devolution of a Species by M.E. Ellington focuses on the Gaia hypothesis, and describes the Earth as a single living organism fighting back against humankind.|
49|Climate|Mother of Storms (1994) by John Barnes describes a catastrophic, rapid climate and weather change brought on by a nuclear explosion releasing clathrate compounds from the ocean floor, based on the clathrate gun hypothesis.|
50|Climate|Far North (2009) by Marcel Theroux, in which the world is largely uninhabitable due to climate change. However, the novel implies that scientists got it wrong and that it was our actions combating global warming that irrevocably altered the climate.|
51|Climate|Earth is a 1990 science fiction novel by American writer David Brin.|
52|Climate|Set in the year 2038, Earth is a cautionary tale of the harm humans can cause their planet via disregard for the environment and reckless scientific experiments.|
53|Climate|Brin set this novel 50 years in the future from the time he was writing, using the book as an opportunity to predict what technologies might — at that future date — be taken for granted day to day.|
54|Climate|The Ice People is a 1998 science fiction novel by British writer Maggie Gee, set in a future world dominated by a new ice age. The novel examines different elements of contemporary society: the fundamental roles and relationships of men and women, sexuality, politics and the issue of global warming.|
55|Climate|A Friend of the Earth is a 2000 novel by T. Coraghessan Boyle. The novel is a story of environmental destruction set in 2025; as a result of global warming and the greenhouse effect, the climate has drastically changed, and, accordingly, biodiversity is a thing of the past.|
56|Climate|Floodland is set in the near future where most of the United Kingdom is covered by water. The story is about a ten-year-old girl named Zoe who is left behind after her parents leave the island before the floods.|
57|Climate|Flood is a 2008 work of hard science fiction by English author Stephen Baxter. It describes a near future world where deep submarine seismic activity leads to seabed fragmentation, and the opening of deep subterranean reservoirs of water.|
58|Climate|Ship Breaker is a 2010 young adult novel by Paolo Bacigalupi set in a post-apocalyptic future. Human civilization is in decline for ecological reasons.|
59|Climate|It is set in a near-future United States of America, ravaged by climate change and disease, in which a second Civil War has broken out over the use of fossil fuels.|
60|Climate|Another empirical study, focused on the novel The Water Knife, found that cautionary climate fiction set in a dystopic future can be effective at educating readers about climate injustice and leading readers to empathize with the victims of climate change, including environmental migrants.|
