docno|doctype|text|
1|Entertainment|The 77th Golden Globe Awards airs on NBC, hosted by Ricky Gervais for the fifth time.|
2|Entertainment|Nexstar Media Group announces plans to launch a three-hour, nightly prime time newscast on its recently acquired cable channel WGN America. |
3|Entertainment|After 30 years, Hank Azaria announces he will no longer voice The Simpsons character Apu Nahasapeemapetilon.|
4|Entertainment|CMT launches an "equal play" initiative in which, effective immediately, songs by female country music artists will be guaranteed to make up 50% of the videos featured as part of the network's overnight and morning music video blocks.|
5|Entertainment|The 62nd Grammy Awards—held at the Staples Center in Los Angeles—aired on CBS with Alicia Keys as the host.|
6|Entertainment|Increasing carriage costs for broadcast and cable-originated networks are blamed by the company for Vue's closure.|
7|Entertainment|Singers Jennifer Lopez and Shakira headlined the halftime show.|
8|Entertainment|The 92nd Academy Awards, presented from the Dolby Theatre in Hollywood, airs on ABC. This was the second consecutive year that the broadcast did not have a host.|
9|Entertainment|The rejection sparked outrage from women's groups and from Busy Philipps, who posted the rejected ad on her Instagram account.|
10|Entertainment|The suspension is criticized by fellow journalists due to Veritas' past reputation for trying to damage the careers of journalists investigating conservative causes as well as ongoing issues with mainstream news organizations restricting journalists' personal political opinions in the current political climate.|
11|Entertainment|Filming had already been completed on the season's first three episodes (which were all filmed in the United Kingdom), after which all contestants and production staff were forced to return to the United States as a precautionary measure even though none of the personnel involved experienced any signs of the coronavirus.|
12|Entertainment|ESPN had also sought Romo to move to their network as the two companies begin the process of renewing their NFL broadcast rights.|
13|Entertainment|Although initially sold as part of bundles with AT&T's internet services, with the national rollout, customers can subscribe without being subscribed to AT&T's internet or wireless telephone services and the service will not count against data caps set by the company.|
14|Entertainment|Chris Matthews announces his retirement from broadcasting and the ending of his 26-year run as host of MSNBC's Hardball.|
15|Entertainment|Almost Family was unlikely to return in any case, as the low-rated and critically panned series quietly ended its first season with its finale being burned off on a Saturday night a week before.|
16|Entertainment|The effects of the coronavirus pandemic continue to grow, especially for live and taped talk shows and upcoming series.|
17|Entertainment|Riverdale suspends production during the 20th episode of its 22-episode season after production staff found out an undisclosed staffer with the Vancouver-based CW series had contact with a COVID-19 patient.|
18|Entertainment|Following the NBA's lead of the day prior, several other sports leagues across the United States announce a temporary suspension of play in an attempt to slow the spread of the coronavirus.|
19|Entertainment|While they initially planned to return in 2021 and hold its championship game if conditions allowed, the league announced on April 10 that it was suspending operations indefinitely.|
20|Entertainment|CBS Television Studios stops production on several drama series as the coronavirus pandemic continues to become a serious issue, with their remaining episodes that were scheduled to be completed this season being pushed back and potentially causing implications pertaining to the May sweeps period.|
21|Entertainment|Universal makes an announcement that production on more than 35 shows and a handful of pilots produced by the studio are either being postponed or delayed due to the crisis.|
22|Entertainment|In the latter case, although its episodes are taped only one month ahead of their initial broadcast, the network does not anticipate interruptions in General Hospital's airing schedule.|
23|Entertainment|More television series announce that the continuation of the coronavirus pandemic has forced them to shut down indefinitely with no timetable as to when they will complete or start their upcoming season, let alone return to production.|
24|Entertainment|A planned no-audience taped episode for the eighth-season finale of Last Man Standing is scrapped as is further production on The Orville, the latter delaying its third season return on its new home at Hulu.|
25|Entertainment|Fremantle announces that the coronavirus pandemic has played a factor in the live production on ABC's American Idol being postponed, resulting in the suspension of all prep work and rehearsals with the finalists and contestants and staff being sent home to be with their families.|
26|Entertainment|During this time, ABC airs taped auditions that will conclude April 19.|
27|Entertainment|The deal, which is expected to be completed by the beginning of the summer, will allow the company to expand its streaming content library including adding content from Fox's television properties.|
28|Entertainment|On February 1, 1984, Stern became the Commissioner of the NBA, succeeding O'Brien during the league's recovery from its darkest period.|
29|Entertainment|Stern's tenure saw the relocation of 6 NBA franchises.|
30|Entertainment|Christopher John Reuel Tolkien (21 November 1924 – 16 January 2020) was an English and French academic editor.|
31|Entertainment|His father wrote a great deal of material connected to the Middle-earth legendarium that was not published in his lifetime.|
32|Entertainment|Tolkien served as chairman of the Tolkien Estate, Ltd., the entity formed to handle the business side of his father's literary legacy, and as a trustee of the Tolkien Charitable Trust. He resigned as director of the estate in 2017.|
33|Entertainment|Urs Egger (born 9 March 1953 in Bern – died 18 January 2020 in Berlin) was a Swiss film and television director.|
34|Entertainment|Kirk Douglas (born Issur Danielovitch; December 9, 1916 – February 5, 2020) was an American actor, producer, director, philanthropist, and writer.|
35|Entertainment|Douglas had an unhappy childhood, living with an alcoholic, physically abusive father.|
36|Entertainment|Douglas received his first Academy Award nomination and the film earned six nominations in all.|
37|Entertainment|Kirk Douglas died at his home in Beverly Hills, California surrounded by family, on February 5, 2020, at age 103.|
38|Entertainment|On February 7, 2020, while walking near Venice Boulevard and Shell Avenue in the Venice section of Los Angeles, Bean was struck by two drivers, with the second vehicle striking him fatally.|
39|Entertainment|Lipton died of bladder cancer at his home in Manhattan on March 2, 2020, at the age of 93.|
40|Entertainment|Nicholas Whitney Tucci (April 3, 1981 – March 3, 2020) was an American actor.|
41|Entertainment|Capable in roles ranging from stolid, contemplative protagonists to sardonic artists and menacing, often gleeful villains, von Sydow was best known for playing the 14th-century knight Antonius Block in Ingmar Bergman's The Seventh Seal (1957), which features iconic scenes of his character challenging Death to a game of chess.|
42|Entertainment|Von Sydow died on 8 March 2020, aged 90, at his home in Provence, France; no cause was given. He was survived by his wife and his four sons.|
43|Entertainment|Another CNN anchor, Brooke Baldwin, confirms that she has tested positive for the coronavirus after having experienced symptoms the previous day despite having practiced social distancing but notes that she'll recover.|
44|Entertainment|Baldwin joins fellow CNN anchor Chris Cuomo in having contracted COVID-19 within a week, and like Cuomo, continued to do her newscasts but on advice from her doctor due to check ups she took a leave of absence until she is cleared to return to work.|
45|Entertainment|Saturday Night Live resumes production on its 45th season with Tom Hanks, who had been diagnosed with coronavirus the month prior and has since recovered, hosting a special episode featuring cast members and guest stars performing remotely from their homes.|
46|Entertainment|A second episode in the format aired on April 26, with Brad Pitt playing Dr. Anthony Fauci in the cold open and several guest stars also appearing during that episode.|
47|Entertainment|The real Dr. Fauci jokingly said Pitt should play him when asked during a CNN interview on April 10.	|
48|Entertainment|Good Morning America anchor George Stephanopoulos is the latest news personality to confirm that he has tested positive for coronavirus, as he has been caring for his wife Ali Wentworth as she recovers from the virus.|
49|Entertainment|The 2020 NFL Draft aired live on ABC, ESPN, and NFL Network.|
50|Entertainment|The series features a trio of celebrities getting some help from beloved past contestants — deemed "Queen Supremes" in competing in fan-favorite challenges and step onto the runway in their new looks.|
51|Entertainment|Court TV becomes the first American television outlet to provide live audio of Supreme Court cases.|
52|Entertainment|For the first time since 2006, CBS aired theatrical films on Sunday nights, utilizing titles from its co-owned Paramount Pictures library in order to fill a void left by several productions shut down due to the coronavirus pandemic.|
53|Entertainment|This coincides with the Supreme Court, for the first time in its history, commencing temporarily conducting docketed hearings remotely (via teleconference) as a pandemic-related precautionary measure.|
54|Entertainment|MGM downplayed the claims, with studio counsel Orin Snyder suggesting that Starz is using the dispute to deflect cause of its "failure to win in the [pay television] marketplace."|
55|Entertainment|Virtual footage was shot in each of the series regulars' homes, and producers planned to use VFX to create the necessary backgrounds. |
56|Entertainment|In addition, a cinematographer operating solo from a vehicle captured exterior footage that reflected the desolate environment that currently exists on the streets and in the neighborhoods of Los Angeles.|
57|Entertainment|The entire episode was shot abiding by social distancing rules and technologies taking place in the world.|
58|Entertainment|ESPN begins carrying live telecasts of the KBO League, the top level of professional baseball in South Korea. |
59|Entertainment|The KBO League was one of the first sports leagues to resume play after South Korea largely prevented the major outbreaks of coronavirus that affected most other developed countries.|
60|Entertainment|KBO weekday games are played during the early morning hours in the eastern United States.|
61|Entertainment|The penalty is two times the prior record fine of $24 million that was paid by Univision Communications in 2007 (for misappropriation of youth-oriented telenovelas as befitting educational programming mandates), and encompasses a $13 million fine proposed by the FCC In December 2017, over sponsorship identification violations regarding its time-leased programming.|
62|Entertainment|The company also announced plans to introduce a streaming service into international markets and rebrand its CBS All Access service to incorporate content from the cable networks.|
63|Entertainment|The two-hour live finale and the reunion show of the milestone 40th season (titled Winners at War) of Survivor were conducted via video chatting instead of the traditional live audience as in a response on health and safety concerns due to the COVID-19 pandemic.|
64|Entertainment|Just Sam is crowned the winner of the 18th season of American Idol, the first time in the series' run that a finals event was televised live without a studio audience, relying on just texting from viewers at home, with the finalists performing their songs from their homes during the COVID-19 pandemic.|
