docno|doctype|text|
1|FrenchFilm|1492: Conquest of Paradise is a 1992 film, celebrating the 500th anniversary of the official discovery of the American continent by Europeans and taking the form of a Biopic of Christopher Columbus.|
2|FrenchFilm|Alphaville: A Strange Adventure of Lemmy Caution is a 1965 French film by Jean-Luc Godard.|
3|FrenchFilm|A 2004 film adaptation of the classic Arsène Lupin stories, it was an action-packed crime thriller that, like the books, glorified thievery if you were well-spoken and chivalrous. |
4|FrenchFilm|Asterix & Obelix Take on Caesar (French: Astérix & Obélix contre César) is the first live-action theatrical movie to be based on the popular Asterix comics, directed by Claude Zidi. It came out in 1999.|
5|FrenchFilm|Banlieue 13 (District 13) is a 2004 French action film.|
6|FrenchFilm|Breathless is a 1960 film directed by Jean-Luc Godard, in his feature filmmaking debut. Its original French title is "À bout de souffle" which translates literally to "at breath's end" with the general meaning being "out of breath."|
7|FrenchFilm|Clouds of Sils Maria (titled simply as Sils Maria in Europe) is a 2014 drama by Oliver Assayas staring starring Juliette Binoche, Kristen Stewart and Chloë Moretz.|
8|FrenchFilm|eXistenZ is a 1999 David Cronenberg film starring Jennifer Jason Leigh, Jude Law, Ian Holm, Callum Keith Rennie, Don McKellar, and Christopher Eccleston that combines Body Horror with Mind Screw and Existential Horror.|
9|FrenchFilm|Adèle and the Secret of the Mummy ("Les aventures extraordinaires d'Adèle Blanc-Sec") is a 2010 Luc Besson movie starring based on Jacques Tardi's comic series of the same name.|
10|FrenchFilm|La Haine (English: "Hate") is a 1995 black-and-white French movie, directed by Mathieu Kassovitz and set in the modern-day slums at the north of Paris — more precisely, in Seine-Saint-Denis (aka "93" or "neuf-trois" from its department number).|
11|FrenchFilm|Holy Motors is a 2012 Franco-German fantasy drama written and directed by Leos Carax, starring Denis Lavant, Édith Scob and Kylie Minogue (in a small part).|
12|FrenchFilm|Intouchables is a 2011 French dramedy film. It depicts one very unorthodox patient/nurse relationship, and is Based on a True Story.|
13|FrenchFilm|Joyeux Noël (Merry Christmas) is a 2005 film depicting the Real Life Christmas Truce of 1914, in the first year of World War I.|
14|FrenchFilm|A Man and a Woman is a 1966 film from France, directed by Claude Lelouch, starring Anouk Aimee and Jean-Louis Trintignant.|
15|FrenchFilm|Nikita is a 1990 French film written and directed by Luc Besson. Released in America as La Femme Nikita (just so everyone would understand it is in French).|
16|FrenchFilm|OSS 117 is not Dead (French:OSS 117 n'est pas mort) is a 1957 French spy film directed by Jean Sacha, with a screenplay by Jacques Berland and Jean Lévitte.|
17|FrenchFilm|Personal Shopper is a 2016 psychological thriller film written and directed by Olivier Assayas, starring Kristen Stewart.|
18|FrenchFilm|Playtime (also spelled Play Time) is a 1967 French film directed by Jacques Tati.|
19|FrenchFilm|The Professional — known as Léon in France and many other countries — is a 1994 film directed by Luc Besson which stars Jean Reno, Gary Oldman, and Natalie Portman in her first major role.|
20|FrenchFilm|Le Professionnel (The Professional) is a 1981 French revenge thriller film directed by Georges Lautner (of Les Tontons flingeurs fame), starring Jean-Paul Belmondo, Jean Desailly and Robert Hossein.|
21|FrenchFilm|Purple Noon (Plein soleil, "Full Sun") is a 1960 film from France directed by Rene Clement.|
22|FrenchFilm|Red Sun (Soleil Rouge) is a 1971 French/Spanish/Italian Spaghetti Western directed by Terence Young.|
23|FrenchFilm|Le Samouraï, known in the US as The Godson or Cop Out (no, not that Cop Out), is a 1967 French Crime thriller directed by Jean-Pierre Melville and starring Alain Delon.|
24|FrenchFilm|Swimming Pool is a 2003 thriller film directed by François Ozon, starring Charlotte Rampling and Ludivine Sagnier.|
25|FrenchFilm|Taxi is a 1998 French action comedy movie written and produced by Luc Besson and directed by Gérard Pirès, and the first of a series of five.|
26|GermanFilm|Agnes and His Brothers (German: Agnes und seine Brüder) is a 2004 German dramedy directed by Oskar Roehler.|
27|GermanFilm|The American Friend (Der amerikanische Freund) is a 1977 film from West Germany directed by Wim Wenders.|
28|GermanFilm|The Baader Meinhof Complex (German: Der Baader Meinhof Komplex) is a 2008 German film by Uli Edel.|
29|GermanFilm|Das Boot (The Boat) is a 1981 German movie (based on the 1973 novel of the same name by Lothar-Günther Buchheim) about the crew of the German submarine U-96.|
30|GermanFilm|The Counterfeiters (German: Die Fälscher) is a 2007 German language film based on the true story of the Nazi Operation Bernhard, the largest counterfeiting operation in history.|
31|GermanFilm|Das Experiment is a German Psychological Thriller directed by Oliver Hirschbiegel (Downfall).|
32|GermanFilm|Knockin' on Heaven's Door is a German Buddy Comedy/Road Trip Plot from 1997 about two terminally ill young men, Martin Brest (Til Schweiger) who has just been diagnosed with a big brain tumor and Rudi Wurlitzer (Jan Josef Liefers) who suffers from bone cancer, who meet and decide to have some fun during the last few days they may have to live.|
33|GermanFilm|Silent German Sci-Fi film from 1927, directed by Fritz Lang. Considered one of the forerunners of the genre and one of the most expensive films ever made.|
34|GermanFilm|Michael Ende's novel The Neverending Story spawned three movies. The first film, 1984's The Neverending Story, was well received—although Ende himself disliked the film to the point where he unsuccessfully sued to have the name changed and had his name taken out of the writing credits.|
35|GermanFilm|It was adapted into a 2006 film: Perfume: The Story of a Murderer, directed by Tom Tykwer, most known for his film Run Lola Run.|
36|GermanFilm|The Lives of Others (Das Leben der Anderen) is an award-winning German film from 2006. It is the debut film of screenwriter and director Florian Henckel von Donnersmarck.|
