docno|doctype|text|
1|Franchise|Star Trek is an iconic, long-running science-fiction franchise with six live-action television series, an animated television series, and thirteen live-action movies spanning three generations of characters and six decades of television. And it's still going, with a new series having been released late September 2017. Another new series was announced in August 2018 with Patrick Stewart set to reprise his role as Captain Jean-Luc Picard from Star Trek: The Next Generation.|
2|Franchise|Star Trek: The Next Generation is a science fiction show created by Gene Roddenberry as part of the Star Trek franchise.|
3|Franchise|Star Trek is the first show in the Star Trek franchise. After the release of its spinoff series and the movies, it has been retroactively called Star Trek: The Original Series to differentiate it from the franchise as a whole.|
4|Franchise|Star Trek: Deep Space Nine is the second of the "next generation" of Star Trek shows, airing after The Next Generation for two years, then alternating with UPN's Voyager for the remaining five years.|
5|Franchise|Star Trek: Voyager is the third "Next Generation" Star Trek series, running for seven seasons from January 1995 through May 2001.|
6|Franchise|Star Trek: Picard is an upcoming TV series set in the Star Trek universe. Patrick Stewart reprises his role of Jean-Luc Picard from Star Trek: The Next Generation. Set 20 years after the events of Star Trek: Nemesis, Picard is now a retired Admiral and is a changed man as a result of the destruction of the planet Romulus. Living on his family vineyard, he's approached by a mysterious woman looking for help. This leads him on a new journey, reuniting with old friends and seeking new allies for one more mission.|
7|Franchise|Star Trek is the eleventh movie in the Star Trek film series, released in 2009.|
8|Franchise|As a rule, Star Trek makes no effort to maintain continuity outside of its Live-Action Television series and films — in fact, for a while, there was a directive that tie-ins couldn't reference anything except the live-action canon. Novels, comics, video games, roleplaying games, technical manuals etc. draw from their common origins, but exist largely independent of each other save for occasional Shout Outs or borrowed elements.|
9|Franchise|Star Trek: 25th Anniversary was the first adventure videogame based on the Star Trek franchise, released in 1992 by Interplay. The game, based on The Original Series, combines classic Point-and-Click gameplay with furious space combat, and features pretty much every staple the series had to offer.|
10|Franchise|And finally, while there were previous antecedents (such as the case of Sherlock Holmes and The Man From Uncle) Star Trek effectively gave rise to Fandom as we know it: when Star Trek: The Original Series began to pick up steam in syndication, fans organized conventions, wrote fanfiction, dressed in costume, and generally made enough noise to keep the franchise going for fifty years and counting. Every fandom since has grown from that original outpouring of fannish activity and devotion.|
11|Franchise|Doctor Who is a British television institution, and the longest running science-fiction series in the world, first airing on BBC TV on 23 November 1963. It takes place in and established the Whoniverse, which has a continuous and constantly adapting story involving many different timelines. It also spawned the truly vast Doctor Who Expanded Universe.|
12|Franchise|Torchwood is a Spin-Off of the British science fiction institution Doctor Who, and set in the main canon Whoniverse.|
13|Franchise|Class was a short-lived spin-off of Doctor Who, and a part of the Whoniverse. Its first two 45 minute episodes (of eight) premiered on BBC Three on October 22nd, 2016.|
14|Franchise|A Companion Show to Doctor Who, with a behind-the-scenes look at the making of the show. It has aired since the show was brought back in 2005 until the end of the sixth series in 2011.|
15|Franchise|In late 1963 we had Doctor Who, the series which spawned the Whoniverse. Then in 1964, in the pages of TV Comic, a Doctor Who spin-off comic started. It was the first part of what would become the Doctor Who Expanded Universe: a never-ending supply of stories with many different branches, timelines and continuities, which have a strong tendency to reference each other and mutually contradict each other in the same breath.|
16|Franchise|K9 (2009-2010) is a Doctor Who spin-off based on everyone's favourite robot dog, who fell through spacetime to end up in eccentric Professor Gryffen's laboratory/mansion in mid-21st-century London.|
17|Franchise|Big Finish Doctor Who is a long-running and ongoing audio series by Big Finish, with Nicholas Briggs as the current Show Runner. The series is written and produced by much of the regular Doctor Who crew.|
18|Franchise|Dr. Who and the Daleks is a 1965 film that cashed in on the craze of Dalekmania by adapting the Doctor Who serial "The Daleks" into a cinema spectacle (albeit distilled into an Alternate Continuity simpler than the show).|
19|Franchise|Doctor Who: Worlds in Time was a Massively Multiplayer Online Game based on Doctor Who. It was created by Three Rings, the developer of Puzzle Pirates, and used a similar gameplay mechanic where various tasks were represented as puzzle minigames. It opened in 2012 and closed in 2014.|
20|Franchise|Legacy is a tactical Match-Three Game with Role-Playing Game elements based on Doctor Who, published for tablets, smartphones and Facebook by Tiny Rebel Games. It's part of the Doctor Who Expanded Universe.|
21|Franchise|Star Wars is a long-running Space Opera franchise created by George Lucas and produced by Lucasfilm.|
22|Franchise|Star Wars (later known as Star Wars: Episode IV - A New Hope) is a Space Opera film, released on May 25th, 1977. It marked the first chapter of the Star Wars saga and the beginning of the franchise, as well as the start of its enduring phenomenon in pop culture. It was written and directed by George Lucas.|
23|Franchise|Star Wars: Episode I – The Phantom Menace, or simply known as The Phantom Menace, is a 1999 film and the first film of the Star Wars prequel trilogy.|
24|Franchise|Star Wars: The Force Awakens is the first film in the Star Wars Sequel Trilogy, directed by J. J. Abrams.|
25|Franchise|The Mandalorian is a Space Western series set in the Star Wars universe, and the first live-action television series in the history of the franchise.|
26|Franchise|Star Wars: The Clone Wars is a CGI animated series set in the Star Wars franchise.|
27|Franchise|Star Wars Rebels is a CGI animated series set in the Star Wars franchise and a sequel to Star Wars: The Clone Wars, as well the first major Star Wars installment released following Disney's acquisition of Lucasfilm.|
28|Franchise|Star Wars Jedi: Fallen Order is an upcoming Star Wars video game, developed by Respawn Entertainment (Titanfall, Apex Legends) and published by Electronic Arts for the Playstation 4, Xbox One and PC.|
29|Franchise|Star Wars: The Aftermath Trilogy is a Star Wars Expanded Universe trilogy by Chuck Wendig, and takes place after Return of the Jedi.|
30|Franchise|Doctor Aphra is a spin-off comic based on the popular character from Darth Vader. The first issue hit shelves December 7th, 2016.|
31|Franchise|To most of the earth-bound humans in it, the Stargate verse is indistinguishable from the universe in which we viewers live.|
32|Franchise|Stargate SG-1 is a Science Fiction television series (1997-2007) following the Stargate movie in a Broad Strokes fashion. It focuses on the adventures of the U.S. Air Force's primary exploration and First Contact team, designated SG-1, as they travel through a wormhole to alien planets.|
33|Franchise|The Ark of Truth is a direct-to-DVD movie concluding the Ori arc of Stargate SG-1.|
34|Franchise|Stargate Continuum is the second direct-to-DVD film based on Stargate SG-1 and the third movie in the Stargate-verse overall.|
35|Franchise|Stargate Atlantis is a spin-off of the popular sci-fi show Stargate SG-1.|
36|Franchise|The third installment of the Stargate franchise that began in 2009 and ended in 2011.|
37|Franchise|Stargate Origins is a Prequel series in the Stargate-verse, and the fourth canonical series, following SG-1, Atlantis, and Universe. It consists of ten webisodes, each about ten minutes long. The first three episodes were released on February 14, 2018, with the remaining episodes to be released weekly thereafter.|
38|Franchise|An action-adventure film, released in 1994, that later bloomed into the Stargate-verse.|
