docno|doctype|text|
1|News|Yesterday, Eliud Kipchoge from Kenya ran a marathon in less than two hours.|
2|News|The Combined Joint Task Force Operation Inherent Resolve released a statement saying an attack on an Iraqi air base housing U.S. military personnel near Mosul produced no casualties.|
3|News|On Sunday, Hong Kongers turned out more than 2.9 million strong to vote in their district-level elections. Over 80% of the 452 available district council seats went to pro-democracy candidates, often ousting pro-Beijing candidates, giving them control of 17 out of 18 of the area's districts.|
4|News|In the deal, Austrian, United Kingdom and New Zealand production sites are to be kept, with market sales expected to cover for the price in the long run. A government-guaranteed loan covered the costs, but the exact figure was kept secret.|
5|News|"We wanted to find out how these superbugs are spread — and whether there is a cross-over from the food chain to humans" said lead author Professor David Livermore of the University of East Anglia's medical school.|
6|News|Jong Woo Son is already in prison in South Korea, but yesterday the United States Department of Justice unsealed further charges against him.|
7|News|The University of Cambridge had been hosting a program about criminal rehabilitation at Fishmongers' Hall called "Learning Together".|
8|News|In findings published Wednesday in Environmental Science and Technology, researchers reported, of premature deaths in the United States due to pollution from power plants, they were disproportionately caused by coal; race was a significant factor in who was affected; and a substantial fraction of deaths were from pollution crossing state lines.|
9|News|Yesterday, Roscosmos, the Russian space agency, announced the death of cosmonaut Alexei Leonov.|
10|News|On Tuesday, the Royal Swedish Academy of Sciences announced the winners of the 2019 Nobel Prize in Physics in Stockholm, Sweden.|
11|News|Yesterday, Brigid Kosgei of Kenya won the 2019 Chicago Marathon and broke the long-standing marathon world record for women competing in mixed-sex marathons.|
12|News|Robert Mugabe, former president of Zimbabwe, has died, according to current president Emmerson Mnangagwa on Friday.|
13|News|Mahala View Lion Lodge formerly billed itself as home to three lions: Rambo, Katryn and Nakita.|
14|News|The International Monetary Fund said in May the AfCFTA might be for African countries comparable to the European and North American trade blocs as an "economic game changer".|
15|News|On Friday, Youssef Chahed, the Prime Minister of Tunisia, signed a government decree banning anyone wearing a niqab from entering a public institution or government offices.|
16|News|Nickey Iyambo, former vice-president of Namibia, died on Sunday, early in the morning. He was 82 years old.|
17|News|In findings published on Wednesday in PLoS One, scientists from the University of Bristol and UC Davis say zebras may have gotten their stripes to confuse ectoparasites, such as flies.|
18|News|The scientists behind the present study only noted various hypotheses about the cause of the disappearance of great white sharks from this area, though Dr. Alison Kock of the University of Cape Town has reported a correlation with the entry of orcas into False Bay, possibly because human activity has rendered prey hard to find elsewhere.|
19|News|In findings published Wednesday in Science Advances, researchers from the University of Colorado at Boulder (CU Boulder) in Colorado and the College of Wooster in Ohio reported a new mechanism by which warm ocean currents erode the ice shelves along the coast of Antarctica, contributing to the planet's rising oceans.|
20|News|Researchers from Australia, Denmark, Germany, Norway, United Kingdom, and the United States conducted lead concentration measurements of sixteen ice core samples, and found that industrial air pollution has persisted Antarctica since its arrival there in 1889 and remains significant in the current century.|
21|News|UK Chancellor George Osborne today announced a new £200 million research ship to ply Arctic and Antarctic waters.|
22|News|NASA is providing funding to aid further research, owing to possible similarities between this icy realm and Europa, a moon of Jupiter.|
23|News|After suffering severe frostbite the British explorer Sir Ranulph Fiennes has decided to pull out from The Coldest Journey expedition across Antarctica.|
24|News|Kapitsa was born to Physics Nobel Prize laureate Pyotr Leonidovich Kapitsa in Cambridge, England in 1931.|
25|News|A team of expeditioners from Australia has found the remains of the first airplane ever taken to the Antarctic.|
26|News|The European Space Agency (ESA) reported on Friday that the Wilkins Shelf, an enormous Antarctic ice shelf half the size of Scotland, could break away from the continent very soon.|
27|News|The site also allegedly made use of Tor, a layered network designed to keep users anonymous.|
28|News|The Lost 52 Project, named after the number of U.S. Navy submarines sunk during World War II, has previously located several of those vessels — three or four by varying reports — using data released by the U.S. Navy.|
29|News|On Saturday, aftershocks of a powerful earthquake with reported magnitude 6.3 that struck southern Philippines on Wednesday night have increased the death toll of the extended event from five people to six due to a massive landslide following a 5.0 magnitude aftershock on Saturday.|
30|News|Law enforcement agencies from Germany, South Korea, the United Kingdom and the United States were part of the international task force|
31|News|Today, Chief Executive of Hong Kong Carrie Lam delivered her annual policy speech.|
32|News|Wiranto, who was visiting the town of Pandeglang in the province of Banten, survived the attack.|
33|News|For the first time in the sixteen weeks of protests in Hong Kong, police fired and landed a live round on a protester yesterday.|
34|News|Yesterday was the 70th anniversary of the Communist Party's takeover of China.|
35|News|On Friday in Pakistan, Mohammed Waseem, brother of social media personality and feminist Qandeel Baloch, was sentenced for her murder to life in prison by a court in Multan.|
36|News|On July 31, multiple news outlets reported Hamza bin Laden to be dead citing sources within the United States Department of Defense.|
37|News|Osama bin Laden founded Al-Qaeda and orchestrated the 9/11 attacks on the US of 2001.|
38|News|Osama was killed by US special forces in Pakistan in 2011.|
39|News|On Friday, German police investigators continued their previous day's search of the headquarters of Deutsche Bank in Frankfurt, Germany, for evidence of money laundering and other wrongdoing in connection to the group of leaked financial documents called the Panama Papers.|
40|News|The stock value of Deutsche Bank dropped roughly by half over the course of 2018.|
41|News|British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.|
42|News|Daphne Caruana Galizia, a Maltese journalist who played a prominent role in investigation based on the Panama Papers, was killed in a car bombing last year.|
