docno|doctype|text|
1|Politics|Leaders from NATO (North Atlantic Treaty Organisation) member states met in Wales over Thursday to Friday in a summit addressing the organisation's role in Afghanistan and new threats from Russia and the Islamic State.|
2|Politics|Today Australian Foreign Minister Julie Bishop announced Australia would accept an invitation to become an enhanced partner of NATO at the NATO conference later this week.|
3|Politics|Australia have also been involved in recent relief efforts in Iraq.|
4|Politics|Ukrainian coastguards reportedly searched for two missing sailors after artillery hit their patrol boat in the Sea of Azov on Sunday, in what rebels reportedly called their first victory at sea.|
5|Politics|"We're not going to build a single house at the Bank of England. We can't influence that. What we can influence [...] is whether the banks are strong enough. Do they have enough capital against risk in the housing market?"|
6|Politics|Internationally, Australia ranks fourth amongst surveyed countries for literacy proficiency amongst adults.|
7|Politics|Internationally, Spain ranks second to last amongst surveyed countries for literacy proficiency amongst adults. Only Italy has a lower literacy proficiency amongst adults. |
8|Politics|It describes the regions — oblasts — of Donetsk and Luhansk as being "temporarily occupied" by Russia and declares Russia to be the "aggressor".|
9|Politics|Ukrainian troops on the Crimean border were put on full combat alert on Thursday, said Ukrainian officials, after tensions rose between Russia and Ukraine over the preceding several days. |
10|Politics|Mayor of Kiev Vitali Klitschko said, "Here are those, who are disturbed with a problem of terrorism. Those who want to stop this evil."|
11|Politics|Yesterday Ukrainian President Petro Poroshenko accused Russia of "direct and open aggression" as his country's military were said to be battling a column of Russian tanks. |
12|Politics|In response to the alleged increase of Russian involvement, European Union (EU) leaders threatened Russia with further sanctions, extending those first imposed in July, if they did not back down from their involvement in Ukraine.|
13|Politics|On Monday, as Ukrainian forces continue to advance into rebel held territory, Russia announced it is to hold military exercises near its border with Ukraine.|
14|Politics|The fighting, ongoing since April, is reported to have increased in intensity since Malaysian Airlines Flight 17 was shot down last month.|
15|Politics|United States officials confirmed the aircraft has been shot down, according to data from a surveillance satellite which showed the last trajectory and impact of the missile.|
