doc|doctype|text|
1|GermanSeries|You will get Babylon Berlin, a gritty Film Noir set in the capital of the Weimar Republic in 1929, in a time of political upheaval, poverty-fueled crime, and lavish jazz parties.|
2|GermanSeries|The first German language Netflix series, Dark is a science fiction/supernatural thriller that shares likenesses with other shows like Twin Peaks and Stranger Things.|
3|GermanSeries|Deutschland 83 is a German eight-episode Spy Fiction Thriller that revolves around an East German spy named Martin Rauch who is sent to work in West Germany undercover as a military aide-de-camp named Moritz Stamm. It premiered on June 17, 2015, on Sundance TV, making it the first German-language series to air on a U.S. network.|
4|GermanSeries|The Heute Show is a German satirical news program similar to The Daily Show and the former Die Wochenshow.|
5|GermanSeries|How to Sell Drugs Online (Fast) is a German Netflix original series created by Philipp Käßbohrer and Matthias Murmann. The first season premiered on 31 May, 2019.|
6|GermanSeries|Schloss Einstein is a German Soap Opera for kids and teenagers, about life at the titular boarding school (the Albert-Einstein-Gymnasium, or "Schloss Einstein" for short). The first episode was broadcast in 1998; as of 2018, the show is in its twentyfirst season. The stories most commonly feature things like first love, roommate drama, and students struggling with exams and grades.|
7|GermanSeries|Tatort ("Crime Scene") is a German Police Procedural series. Even after more than 1000! episodes, having started in 1970 (making it the oldest still going crime show in the world), it's still one of the most popular German TV series and regularly wins the battle for the highest Ratings.|
8|GermanSeries|Der Tatortreiniger, or "The Crime Scene Cleaner" in English, is a German Black Comedy series, focusing on the work and 'adventures' of the slacky, but vain crime scene cleaning professional Heiko 'Schotty' Schotte (played by Bjarne Mädel), and how he cleans out the scenes of usually very violent deaths (after the police and forensics have packed up and left), and always happens to stumble across the strangest of people there, including the victim's relatives, employers, acquaintances, hookers, the murderers, and occasionally even the victims themselves.|
9|GermanSeries|Unsere Mütter, unsere Väter (literally "Our Mothers, Our Fathers", titled Generation War in the US, UK and France) is a 2013 German drama miniseries set in World War II. Done in the style of Band of Brothers, but with Germans. And extra grim, since it's primarily set on the Eastern Front and The Holocaust has much plot significance.|
10|GermanSeries|Switch! and its successor, Switch Reloaded are German comedy shows, which parody other TV shows (and occasionally, movies) from Germany, the United States and sometimes other nations. The sketches are pretty short - just like what you'd get if you switch the channel all the time.|
11|GermanSeries|Anna und die Liebe (Anna and Love) is a German Soap Opera; running since autumn 2008, it is one of the more popular soap operas in Germany and features many corny acting characters.|
12|GermanSeries|Originally designed in 1995 by Javier Mariscal to be the mascot for Hanover 2000 Expo, Twipsy starred his own cartoon in 1999 which included 26 episodes in total.|
