doc|doctype|text|
1|WebMedia|Stuart Brown, known as Ahoy (formerly XboxAhoy), is a gaming YouTuber focused primarily on creating documentary-style videos on video games and gaming culture.|
2|WebMedia|Alex T. Corea (born November 16, 1994) is an American actor, presenter, producer, and writer who is best known as the host of The Attack since its inception in 2015 until its closure in 2018.|
3|WebMedia|Alex Day is a YouTuber and musician from England. He is better known as Nerimon on YouTube.|
4|WebMedia|Anna Akana is a YouTuber and short film creator/writer/director/actor. She currently has over one million subscribers from her comedic life advice videos and her short films.|
5|WebMedia|The Lorerunner (formerly Archengeia) is a YouTuber and Twitch streamer who for the most part focuses on videogames and movies, and to a lesser extent role playing games.|
6|WebMedia|Barats and Bereta are an Internet comedy duo who write, act, and post skits on their Youtube channel as well as their own Homepage.|
7|WebMedia|The British-born and US (formerly Australian)-residing Benjamin Richard "Yahtzee" Croshaw (born 24 May 1983) is perhaps best known for Zero Punctuation. But he does have a bit more on his conscience internet-wise. Besides being a video game critic, Yahtzee also has experience in the field of writing and game design.|
8|WebMedia|Bill Wurtz is an American musician and video creator; his works are distinct in their use of musical jingles and surreal colorful visuals. He initially focused on Vine videos with songs intermingled and had some success there, but eventually expressed a desire to create longer unrestricted videos on his YouTube channel.|
9|WebMedia|In addition to maintaining the Blender codebase itself, the Blender Foundation has been responsible for making several animated shorts designed to drive Blender development and showcase what it's capable of. The codenames for the films are always based on fruits.|
10|WebMedia|A band specializing in live acoustic covers that gained a fanbase by posting videos of their recording sessions on YouTube. They were one of the first bands to become famous this way.|
11|WebMedia|Bradican Jones (born December 20, 1981) is The Cinema Snob, Kung Tai Ted, 80's Dan, and, well, Brad Jones, amongst other things. Additionally, he's known for having the voice of a young Jack Nicholson.|
12|WebMedia|Brendan Blaber, also known as JelloApocalypse, is a notable content creator on YouTube.|
13|WebMedia|BroFilms is a YouTube video creator who makes videos about games, animation, memes, and more.|
14|WebMedia|The Brothers Chaps refers to the sibling duo of Mike Chapman (born September 20th, 1973) and Matt Chapman (born November 1st, 1976), best known for being the duo behind the cult web series Homestar Runner, with Mike doing most of the animating, Matt doing most of the voices, and both doing the writing.|
15|WebMedia|Caillou Pettis is an actor, director, writer, and a film critic who reviews various new and old movies every week on his YouTube channel.|
16|WebMedia|CinemaSins is a web series created by Jeremy Scott and Chris Atkinson in 2012, dedicated entirely to pointing out the "sins" in movies. Sins include continuity errors, Critical Research Failures, anything that breaks Willing Suspension of Disbelief, editing mistakes, instances of "Dude, Not Funny!", instances of Idiot Ball or Idiot Plot, plot holes, Logical Fallacies, Continuity Lockouts, overused and misused tropes, or just anything the guys can make a snarky joke or reference to.|
17|WebMedia|CLW Entertainment is a channel by Collin Weiler. He has various series on his channel, such as fandubs, animations, and more. He is best known for his fandub of Doraemon and his own animated series Planet Weiler.|
18|WebMedia|Kathrin Fricke (a.k.a. coldmirror, Kaddi or Kreatur im Spiegel) is a German Youtuber who became famous for her Gag Dubs of the Harry Potter movies.|
19|WebMedia|ComicTropes is a YouTube channel that discuss Comic Books and Newspaper Comics. There is a focus on DC Comics and Marvel Comics but there are also videos on indie publishers, smaller publishers, currently nonexistent publishers, and international comics.|
20|WebMedia|Counter Arguments is a YouTube channel dedicated to argumentation and rhetoric.|
21|WebMedia|Marzia Bisognin, better known as Marzia, formerly known as CutiePieMarzia, is an Italian YouTuber. Her channel is mostly fashion-centric, though she also posts a large variety of non-fashion related videos, like food recipes, makeup tutorials, monthly favorites, and the occassional vlog (generally when she is travelling).|
