doc	surface	type	start	link
1	Berkshire Hathaway	ORG	0	http://dbpedia.org/resource/Berkshire_Hathaway
1	Omaha, Nebraska	LOC	108	http://dbpedia.org/resource/Omaha,_Nebraska
1	Nebraska	LOC	115	http://dbpedia.org/resource/Nebraska
1	United States	LOC	125	http://dbpedia.org/resource/United_States
2	JPMorgan Chase	ORG	0	http://dbpedia.org/resource/JPMorgan_Chase
2	S&P Global	OTHER	28	http://dbpedia.org/resource/S&P_Global
2	United States	LOC	66	http://dbpedia.org/resource/United_States
3	Alphabet Inc.	ORG	0	http://dbpedia.org/resource/Alphabet_Inc.
3	Mountain View, California	LOC	73	http://dbpedia.org/resource/Downtown_Mountain_View_station
3	California	LOC	88	http://dbpedia.org/resource/California
4	San Francisco	LOC	11	http://dbpedia.org/resource/San_Francisco
4	Bank of America	ORG	26	NIL
4	NationsBank's	ORG	61	http://dbpedia.org/resource/NationsBank
4	BankAmerica	ORG	90	http://dbpedia.org/resource/Bank_of_America
5	Intel Corporation	ORG	0	http://dbpedia.org/resource/Intel
5	Santa Clara, California	LOC	99	http://dbpedia.org/resource/Santa_Clara
5	California	LOC	112	 http://dbpedia.org/resource/California
5	Silicon Valley	LOC	127	http://dbpedia.org/resource/Silicon_Valley
6	Wells Fargo & Company	ORG	0	http://dbpedia.org/resource/Wells_Fargo
6	San Francisco, California, United States	LOC	95	http://dbpedia.org/resource/San_Francisco
6	California	LOC	110	http://dbpedia.org/resource/California
6	United States	LOC	161	http://dbpedia.org/resource/United_States
7	Citigroup Inc.	ORG	0	http://dbpedia.org/resource/Citigroup
7	Citi	ORG	0	http://dbpedia.org/resource/Citigroup
7	New York City	LOC	139	http://dbpedia.org/resource/New_York_City
8	Verizon Communications Inc.	ORG	0	http://dbpedia.org/resource/Verizon_Communications
8	Dow Jones Industrial Average	OTHER	122	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
9	Pfizer Inc.	ORG	0	http://dbpedia.org/resource/Pfizer
9	New York City	LOC	97	http://dbpedia.org/resource/New_York_City
9	Fortune Global 500	WORK	206	http://dbpedia.org/resource/Fortuna
9	United States	LOC	238	http://dbpedia.org/resource/United_States
10	Johnson & Johnson	ORG	0	http://dbpedia.org/resource/Johnson_&_Johnson
11	Walmart Inc.	ORG	0	http://dbpedia.org/resource/Walmart
