doc	surface	type	start	link
1	Soylent Green	WORK	0	http://dbpedia.org/resource/Soylent_Green
1	Richard Fleischer	PER	39	http://dbpedia.org/resource/Richard_Fleischer
1	Charlton Heston	PER	70	http://dbpedia.org/resource/Charlton_Heston
2	Waterworld	WORK	0	http://dbpedia.org/resource/Waterworld
2	Kevin Costner	PER	27	http://dbpedia.org/resource/Kevin_Costner
2	Earth	LOC	132	http://dbpedia.org/resource/Earth
3	The Arrival	WORK	0	NIL
3	Charlie Sheen	PER	29	http://dbpedia.org/resource/Charlie_Sheen
3	Earth	LOC	131	http://dbpedia.org/resource/Earth
4	A.I. Artificial Intelligence	WORK	0	http://dbpedia.org/resource/Artificial_intelligence
4	New York City	LOC	88	http://dbpedia.org/resource/New_York_City
5	The Day After Tomorrow	WORK	0	NIL
5	Dennis Quaid	PER	39	http://dbpedia.org/resource/Dennis_Quaid
5	Earth	LOC	149	http://dbpedia.org/resource/Earth
6	An Inconvenient Truth	WORK	0	http://dbpedia.org/resource/An_Inconvenient_Truth
6	Davis Guggenheim	PER	79	http://dbpedia.org/resource/Davis_Guggenheim
6	United States	LOC	116	http://dbpedia.org/resource/United_States
6	Vice President Al Gore's	PER	130	http://dbpedia.org/resource/Al_Gore
6	Al Gore's	PER	145	http://dbpedia.org/resource/Al_Gore
7	Leonardo DiCaprio	PER	56	http://dbpedia.org/resource/Leonardo_DiCaprio
8	The Age of Stupid	WORK	0	NIL
8	Pete Postlethwaite	PER	70	http://dbpedia.org/resource/Pete_Postlethwaite
9	Earth	LOC	0	http://dbpedia.org/resource/Earth
10	Carbon Nation	WORK	0	http://dbpedia.org/resource/Carbon_Nation
11	Snowpiercer	WORK	0	http://dbpedia.org/resource/Snowpiercer
12	First Reformed	WORK	0	http://dbpedia.org/resource/First_Reformed_Church_of_New_Brunswick
13	An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It	WORK	0	http://dbpedia.org/resource/An_Inconvenient_Truth
13	Al Gore	PER	111	http://dbpedia.org/resource/Al_Gore
13	An Inconvenient Truth	WORK	0	http://dbpedia.org/resource/An_Inconvenient_Truth
13	Gore's	PER	189	http://dbpedia.org/resource/Al_Gore
14	The Inner Light	WORK	0	NIL
14	Jean-Luc Picard	PER	25	http://dbpedia.org/resource/Jean-Luc_Picard
14	Hugo Award	OTHER	212	http://dbpedia.org/resource/Hugo_Award
14	TNG	WORK	289	 http://dbpedia.org/resource/Star_Trek:_The_Next_Generation
15	The Teenage Mutant Ninja Turtles	WORK	0	http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles
16	Transformers	WORK	10	http://dbpedia.org/resource/Transformers
16	The Revenge of Bruticus	WORK	88	NIL
17	Utopia	WORK	14	http://dbpedia.org/resource/Utopia_(British_TV_series)
18	Teenage Mutant Ninja Turtles Adventures	WORK	0	http://dbpedia.org/resource/Teenage_Mutant_Ninja_Turtles_Adventures
18	Archie Comics	ORG	45	http://dbpedia.org/resource/Archie_Comics
18	New York City	LOC	150	http://dbpedia.org/resource/New_York_City
19	Civilization II	WORK	0	http://dbpedia.org/resource/Civilization_II
20	TamaTown	ORG	13	NIL
21	PNAS	WORK	16	http://dbpedia.org/resource/Proceedings_of_the_National_Academy_of_Sciences_of_the_United_States_of_America
22	MIT	ORG	0	http://dbpedia.org/resource/Massachusetts_Institute_of_Technology
22	Kerry Emanuel	PER	18	http://dbpedia.org/resource/Kerry_Emanuel
24	United States	LOC	44	http://dbpedia.org/resource/United_States
24	Bush	PER	69	http://dbpedia.org/resource/George_W._Bush
25	Beck	PER	19	http://dbpedia.org/resource/Beck
26	Bill McKibben	PER	13	http://dbpedia.org/resource/Bill_McKibben
27	United States	LOC	53	http://dbpedia.org/resource/United_States
29	Canada	LOC	34	http://dbpedia.org/resource/Canada
30	Japan	LOC	3	http://dbpedia.org/resource/Japan
31	New Zealand	LOC	21	http://dbpedia.org/resource/New_Zealand
32	IPCC Assessment Reports	WORK	4	http://dbpedia.org/resource/Intergovernmental_Panel_on_Climate_Change
33	United States	LOC	37	http://dbpedia.org/resource/United_States
33	Fox News	ORG	52	http://dbpedia.org/resource/Fox_News
35	Trump	PER	19	http://dbpedia.org/resource/Donald_Trump
