doc	surface	type	start	link
1	Golden Globe Awards	EVENT	9	http://dbpedia.org/resource/Golden_Globe_Awards
1	NBC	ORG	37	http://dbpedia.org/resource/NBC
1	Ricky Gervais	PER	52	http://dbpedia.org/resource/Ricky_Gervais
2	Nexstar Media Group	ORG	0	http://dbpedia.org/resource/Nexstar_Media_Group
2	WGN America	ORG	127	http://dbpedia.org/resource/WGN_America
3	Hank Azaria	PER	16	http://dbpedia.org/resource/Hank_Azaria
3	The Simpsons	WORK	62	http://dbpedia.org/resource/The_Simpsons
3	Apu Nahasapeemapetilon	PER	85	http://dbpedia.org/resource/Apu_Nahasapeemapetilon
4	CMT	ORG	0	http://dbpedia.org/resource/CMT_Music_Awards
5	Grammy Awards	OTHER	9	http://dbpedia.org/resource/Grammy_Award
5	Staples Center	LOC	35	http://dbpedia.org/resource/Staples_Center
5	Los Angeles	LOC	53	http://dbpedia.org/resource/Los_Angeles
5	CBS	ORG	74	http://dbpedia.org/resource/CBS
5	Alicia Keys	PER	83	http://dbpedia.org/resource/Alicia_Keys
6	Vue's	ORG	100	NIL
7	Jennifer Lopez	PER	8	http://dbpedia.org/resource/Jennifer_Lopez
7	Shakira	PER	27	http://dbpedia.org/resource/Shakira
8	Academy Awards	EVENT	9	http://dbpedia.org/resource/Academy_Awards
8	Dolby Theatre	LOC	44	http://dbpedia.org/resource/Dolby_Theatre
8	Hollywood	LOC	61	http://dbpedia.org/resource/Hollywood
8	ABC	ORG	80	http://dbpedia.org/resource/American_Broadcasting_Company
9	Busy Philipps	PER	59	http://dbpedia.org/resource/Busy_Philipps
9	Instagram	ORG	108	http://dbpedia.org/resource/Instagram
10	Veritas'	ORG	58	http://dbpedia.org/resource/Veritas
11	United Kingdom	LOC	102	http://dbpedia.org/resource/United_Kingdom
12	ESPN	ORG	0	http://dbpedia.org/resource/ESPN
12	Romo	PER	21	http://dbpedia.org/resource/Tony_Romo
12	NFL	ORG	108	http://dbpedia.org/resource/NFL
13	AT&T's	ORG	48	http://dbpedia.org/resource/AT&T
13	AT&T's	ORG	48	http://dbpedia.org/resource/AT&T
14	Chris Matthews	PER	0	http://dbpedia.org/resource/Chris_Matthews
14	MSNBC's	ORG	103	http://dbpedia.org/resource/MSNBC
14	Hardball	WORK	111	http://dbpedia.org/resource/Hardball_with_Chris_Matthews
15	Almost Family	WORK	0	http://dbpedia.org/resource/Almost_Family
17	Riverdale	WORK	0	http://dbpedia.org/resource/Riverdale_(2017_TV_series)
17	Vancouver	LOC	144	http://dbpedia.org/resource/Vancouver
17	CW	ORG	160	http://dbpedia.org/resource/The_CW
17	COVID-19	OTHER	189	http://dbpedia.org/resource/Coronavirus_disease_2019
18	NBA's	ORG	14	http://dbpedia.org/resource/National_Basketball_Association
18	United States	LOC	83	http://dbpedia.org/resource/United_States
20	CBS Television Studios	ORG	0	http://dbpedia.org/resource/CBS
21	Universal	ORG	0	http://dbpedia.org/resource/Universal
22	General Hospital's	WORK	150	http://dbpedia.org/resource/General_Hospital
24	Last Man Standing	WORK	68	NIL
24	The Orville	WORK	126	http://dbpedia.org/resource/The_Orville
24	Hulu	ORG	202	http://dbpedia.org/resource/Hulu
25	Fremantle	ORG	0	http://dbpedia.org/resource/Fremantle
25	ABC's	ORG	96	http://dbpedia.org/resource/American_Broadcasting_Company
25	American Idol	WORK	102	http://dbpedia.org/resource/American_Idol
26	ABC	ORG	18	http://dbpedia.org/resource/American_Broadcasting_Company
27	Fox's	ORG	169	http://dbpedia.org/resource/Fox_Broadcasting_Company
28	Stern	PER	21	http://dbpedia.org/resource/David_Stern
28	NBA	ORG	58	http://dbpedia.org/resource/National_Basketball_Association
28	O'Brien	PER	74	NIL
29	Stern's	PER	0	http://dbpedia.org/resource/David_Stern
29	NBA	ORG	39	http://dbpedia.org/resource/National_Basketball_Association
30	Christopher John Reuel Tolkien	PER	0	http://dbpedia.org/resource/Christopher_Tolkien
31	Middle-earth	LOC	59	http://dbpedia.org/resource/Middle-earth
32	Tolkien	PER	0	http://dbpedia.org/resource/J._R._R._Tolkien
32	Tolkien Estate, Ltd.	ORG	0	http://dbpedia.org/resource/Tolkien_Estate
32	Tolkien Charitable Trust	ORG	0	http://dbpedia.org/resource/J._R._R._Tolkien
33	Urs Egger	PER	0	http://dbpedia.org/resource/Urs_Egger
33	Bern	LOC	32	http://dbpedia.org/resource/Bern
33	Berlin	LOC	63	http://dbpedia.org/resource/Berlin
34	Kirk	PER	0	http://dbpedia.org/resource/Kirk_Douglas
34	Douglas	PER	5	http://dbpedia.org/resource/Kirk_Douglas
34	Issur	PER	19	http://dbpedia.org/resource/Kirk_Douglas
34	Danielovitch	PER	25	http://dbpedia.org/resource/Kirk_Douglas
35	Douglas	PER	0	http://dbpedia.org/resource/Kirk_Douglas
36	Douglas	PER	0	http://dbpedia.org/resource/Kirk_Douglas
36	Academy	ORG	27	http://dbpedia.org/resource/Academy_Awards
36	Award	EVENT	35	http://dbpedia.org/resource/Academy_Awards
37	Kirk Douglas	PER	0	http://dbpedia.org/resource/Kirk_Douglas
37	Beverly Hills	LOC	33	http://dbpedia.org/resource/Beverly_Hills
