doc	surface	type	start	link
1	The Big Bang Theory	TV	0	https://en.wikipedia.org/wiki/The_Big_Bang_Theory
1	Chuck Lorre	PER	64	https://en.wikipedia.org/wiki/Chuck_Lorre
1	Bill Prady	PER	80	https://en.wikipedia.org/wiki/Bill_Prady
1	Steven Molaro	PER	161	https://en.wikipedia.org/wiki/Steven_Molaro
1	CBS	ORG	237	https://en.wikipedia.org/wiki/CBS
2	Dracula	WORK	0	https://en.wikipedia.org/wiki/Dracula
2	Bram Stoker	PER	55	https://en.wikipedia.org/wiki/Bram_Stoker
2	Count Dracula	PER	99	https://en.wikipedia.org/wiki/Count_Dracula
3	Harry Potter	WORK	0	https://en.wikipedia.org/wiki/Harry_Potter
3	J. K. Rowling	PER	69	https://en.wikipedia.org/wiki/J._K._Rowling
3	Harry Potter	PER	134	https://en.wikipedia.org/wiki/Harry_Potter_(character)
3	Hermione Granger	PER	164	https://en.wikipedia.org/wiki/Hermione_Granger
3	Ron Weasley	PER	185	https://en.wikipedia.org/wiki/Ron_Weasley
3	Hogwarts School of Witchcraft and Wizardry	ORG	226	https://en.wikipedia.org/wiki/Hogwarts_School_of_Witchcraft_and_Wizardry
3	Lord Voldemort	PER	323	https://en.wikipedia.org/wiki/Lord_Voldemort
3	Ministry of Magic	ORG	434	https://en.wikipedia.org/wiki/Ministry_of_Magic
4	Harry Potter and the Philosopher's Stone	WORK	0	https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher%27s_Stone
4	J. K. Rowling	PER	86	https://en.wikipedia.org/wiki/J._K._Rowling
4	Harry Potter series	WORK	124	https://en.wikipedia.org/wiki/Harry_Potter
4	Rowling's	PER	148	https://en.wikipedia.org/wiki/J._K._Rowling
4	Harry Potter	PER	182	https://en.wikipedia.org/wiki/Harry_Potter_(character)
4	Hogwarts School of Witchcraft and Wizardry	ORG	315	https://en.wikipedia.org/wiki/Hogwarts_School_of_Witchcraft_and_Wizardry
4	Harry	PER	359	https://en.wikipedia.org/wiki/Harry_Potter_(character)
4	Harry	PER	474	https://en.wikipedia.org/wiki/Harry_Potter_(character)
4	Lord Voldemort	PER	527	https://en.wikipedia.org/wiki/Lord_Voldemort
4	Harry's	PER	554	https://en.wikipedia.org/wiki/Harry_Potter_(character)
4	Harry	PER	591	https://en.wikipedia.org/wiki/Harry_Potter_(character)
5	Young Sheldon	TV	0	https://en.wikipedia.org/wiki/Young_Sheldon
5	young Sheldon	TV	27	https://en.wikipedia.org/wiki/Young_Sheldon
5	CBS	ORG	85	https://en.wikipedia.org/wiki/CBS
5	Chuck Lorre	PER	100	https://en.wikipedia.org/wiki/Chuck_Lorre
5	Steven Molaro	PER	116	https://en.wikipedia.org/wiki/Steven_Molaro
5	The Big Bang Theory	TV	167	https://en.wikipedia.org/wiki/The_Big_Bang_Theory
5	Sheldon Cooper	WORK	217	https://en.wikipedia.org/wiki/Sheldon_Cooper
5	East Texas	LOC	278	https://en.wikipedia.org/wiki/East_Texas
6	Philip Kindred Dick	PER	0	https://en.wikipedia.org/wiki/Philip_K._Dick
6	Dick	PER	535	https://en.wikipedia.org/wiki/Philip_K._Dick
7	Tor Books	ORG	0	https://en.wikipedia.org/wiki/Tor_Books
7	Tom Doherty Associates	ORG	36	https://en.wikipedia.org/wiki/Tom_Doherty
7	New York City	LOC	90	https://en.wikipedia.org/wiki/New_York_City
7	Tor.com	WORK	214	https://en.wikipedia.org/wiki/Tor.com
8	Cormoran Strike	PER	0	https://en.wikipedia.org/wiki/Cormoran_Strike
8	J.K. Rowling	PER	77	https://en.wikipedia.org/wiki/J._K._Rowling
8	Robert Galbraith	PER	122	NIL
8	Cormoran Strike	PER	192	https://en.wikipedia.org/wiki/Cormoran_Strike
8	Robin Ellacott	PER	226	NIL
8	Lethal White	WORK	308	https://en.wikipedia.org/wiki/Lethal_White
8	Rowling	PER	357	https://en.wikipedia.org/wiki/J._K._Rowling
9	Brandon Sanderson	PER	0	https://en.wikipedia.org/wiki/Brandon_Sanderson
9	Cosmere universe	WORK	121	NIL
9	Mistborn series	WORK	193	https://en.wikipedia.org/wiki/Mistborn_series
9	The Stormlight Archive	WORK	213	https://en.wikipedia.org/wiki/The_Stormlight_Archive
9	Robert Jordan's	PER	277	https://en.wikipedia.org/wiki/Robert_Jordan
9	The Wheel of Time	PER	313	https://en.wikipedia.org/wiki/The_Wheel_of_Time
9	Sanderson	PER	332	https://en.wikipedia.org/wiki/Brandon_Sanderson
9	Lincoln, Nebraska	LOC	356	https://en.wikipedia.org/wiki/Lincoln,_Nebraska
9	Brigham Young University	ORG	391	https://en.wikipedia.org/wiki/Brigham_Young_University
10	Stephen Edwin King	PER	0	https://en.wikipedia.org/wiki/Stephen_King
10	King	PER	297	https://en.wikipedia.org/wiki/Stephen_King
10	Richard Bachman	PER	362	https://en.wikipedia.org/wiki/Richard_Bachman
11	George Walton Lucas Jr.	PER	0	https://en.wikipedia.org/wiki/George_Lucas
11	Lucas	PER	87	https://en.wikipedia.org/wiki/George_Lucas
