Donet	surface	type	start	link
1	NATO (North Atlantic Treaty Organisation)	ORG		http://dbpedia.org/resource/NATO
1	Wales	LOC		http://dbpedia.org/resource/Wales
1	Afghanistan	LOC		http://dbpedia.org/resource/Afghanistan
1	Russia	LOC		http://dbpedia.org/resource/Russia
1	Islamic State	LOC		http://dbpedia.org/resource/Islamic_State_of_Iraq_and_the_Levant
2	Australian Foreign Minister Julie Bishop	ROLE		http://dbpedia.org/resource/Minister_for_Foreign_Affairs_(Australia)
2	Australia 	LOC		http://dbpedia.org/resource/Australia
2	NATO	ORG		http://dbpedia.org/resource/NATO
2	NATO conference	EVENT		http://dbpedia.org/resource/NATO
3	Australia	LOC		http://dbpedia.org/resource/Australia
3	Iraq	LOC		http://dbpedia.org/resource/Iraq
4	Sea of Azov	LOC		http://dbpedia.org/resource/Azov
5	Bank of England	ORG		http://dbpedia.org/resource/England
6	Australia	LOC		http://dbpedia.org/resource/Australia
7	Spain	LOC		http://dbpedia.org/resource/Spain
7	Italy	LOC		http://dbpedia.org/resource/Italy
8	Donetsk	LOC		http://dbpedia.org/resource/Donetsk
8	Luhansk	LOC		http://dbpedia.org/resource/Luhansk
8	Russia	LOC		http://dbpedia.org/resource/Russia
8	Russia	LOC		http://dbpedia.org/resource/Russia
9	Russia	LOC		http://dbpedia.org/resource/Russia
9	Ukraine	LOC		http://dbpedia.org/resource/Ukraine
10	Mayor of Kiev	ROLE		http://dbpedia.org/resource/Mayor
10	Vitali Klitschko	PER		http://dbpedia.org/resource/Vitali_Klitschko
11	Ukrainian President Petro Poroshenko	ROLE		http://dbpedia.org/resource/President_of_Ukraine
11	Russia	LOC		http://dbpedia.org/resource/Russia
12	European Union	ORG		http://dbpedia.org/resource/European_Union
12	EU	ORG		http://dbpedia.org/resource/European_Union
12	Russia	LOC		http://dbpedia.org/resource/Russia
12	Ukraine	LOC		http://dbpedia.org/resource/Ukraine
13	Ukraine	LOC		http://dbpedia.org/resource/Ukraine
14	Airlines Flight 17	OTHER		NIL
15	United States	LOC		http://dbpedia.org/resource/United_States
16	Security Service of Ukraine	ORG		http://dbpedia.org/resource/Security_Service_of_Ukraine
16	SBU	ORG		http://dbpedia.org/resource/Security_Service_of_Ukraine
16	YouTube	ORG		http://dbpedia.org/resource/YouTube
17	Hong Kong	LOC		http://dbpedia.org/resource/Hong_Kong
17	World Trade Organization	ORG		http://dbpedia.org/resource/World_Trade_Organization
17	WTO	ORG		http://dbpedia.org/resource/World_Trade_Organization
18	China	LOC		http://dbpedia.org/resource/China
18	U.S. Commerce Department	ORG		http://dbpedia.org/resource/United_States
19	Chinese Yuan 	OTHER		http://dbpedia.org/resource/Renminbi
19	U.S. Dollar	OTHER		http://dbpedia.org/resource/United_States
20	IMF	ORG		http://dbpedia.org/resource/International_Monetary_Fund
20	Africa in the Doha Round	WORK		http://dbpedia.org/resource/Africa
21	Group of Eight	ORG		NIL
21	G8	ORG		http://dbpedia.org/resource/Group_of_Eight
22	EU	ORG		http://dbpedia.org/resource/European_Union
22	APEC	ORG		http://dbpedia.org/resource/Asia-Pacific_Economic_Cooperation
23	US	LOC		http://dbpedia.org/resource/United_States
23	Israel	LOC		http://dbpedia.org/resource/Israel
24	U.S.	LOC		http://dbpedia.org/resource/United_States
24	Iraq	LOC		http://dbpedia.org/resource/Iraq
25	Baghdad	LOC		http://dbpedia.org/resource/Baghdad
25	Iraq	LOC		http://dbpedia.org/resource/Iraq
26	NATO	ORG		http://dbpedia.org/resource/NATO
26	Hungary	LOC		http://dbpedia.org/resource/Hungary
26	GDP	OTHER		http://dbpedia.org/resource/Gross_domestic_product
26	NATO	ORG		http://dbpedia.org/resource/NATO
27	Hungarian Development Bank	ORG		http://dbpedia.org/resource/Hungary
28	United States House of Representatives	ORG		http://dbpedia.org/resource/United_States
28	President Donald Trump	PER		http://dbpedia.org/resource/President_of_the_United_States
29	Nancy Pelosi	PER		http://dbpedia.org/resource/Nancy_Pelosi
29	Democratic Speaker of the House	ROLE		http://dbpedia.org/resource/Democratic_Party_(United_States)
30	Mitch McConnell	PER		http://dbpedia.org/resource/Mitch_McConnell
30	Republican Senate Majority Leader	ROLE		http://dbpedia.org/resource/Republican_Party_(United_States)
31	United States Senator Kay Hagan	PER		http://dbpedia.org/resource/United_States_Senate
32	John James Conyers Jr.	PER		http://dbpedia.org/resource/John_James_(architect)
32	Congress	ORG		http://dbpedia.org/resource/United_States_Congress
32	Detroit, Michigan	LOC		http://dbpedia.org/resource/Detroit
33	Conyers	PER		NIL
33	Congressional Black Caucus 	ORG		http://dbpedia.org/resource/Race_and_ethnicity_in_the_United_States_Census
34	NPR	ORG		http://dbpedia.org/resource/NPR
34	Congress	ORG		http://dbpedia.org/resource/United_States_Congress
35	David Milliband 	PER		NIL
35	Labour leader	ROLE		http://dbpedia.org/resource/New_Zealand_Labour_Party
35	Cameron	PER		http://dbpedia.org/resource/David_Cameron
36	Cameron	PER		http://dbpedia.org/resource/David_Cameron
37	Birmingham, England	LOC		http://dbpedia.org/resource/Birmingham
38	West Midlands	LOC		http://dbpedia.org/resource/West_Midlands_conurbation
39	Facebok	ORG		NIL
39	Twitter	ORG		http://dbpedia.org/resource/Twitter
40	Birmingham	LOC		http://dbpedia.org/resource/Birmingham
40	Liverpool	LOC		http://dbpedia.org/resource/Liverpool
40	Nottingham 	LOC		http://dbpedia.org/resource/Nottingham
40	Birmingham 	LOC		http://dbpedia.org/resource/Birmingham
41	England	LOC		http://dbpedia.org/resource/England
42	Sirte	LOC		http://dbpedia.org/resource/Sirte
43	ISIL	LOC		http://dbpedia.org/resource/Islamic_State_of_Iraq_and_the_Levant
44	US	LOC		http://dbpedia.org/resource/United_States
44	Egypt	LOC		http://dbpedia.org/resource/Egypt
44	UAE	LOC		http://dbpedia.org/resource/United_Arab_Emirates
44	Tripoli	LOC		http://dbpedia.org/resource/Tripoli
45	Qatar	LOC		http://dbpedia.org/resource/Qatar
45	Muslim Brotherhood	ORG		http://dbpedia.org/resource/Muslim_Brotherhood
45	Tripoli	LOC		http://dbpedia.org/resource/Tripoli
48	Algeria	LOC		http://dbpedia.org/resource/Algeria
48	Tunisia	LOC		http://dbpedia.org/resource/Tunisia
