doc	surface	type	start	link
1	Babylon Berlin	WORK		NIL
1	Weimar Republic	LOC		http://dbpedia.org/resource/Weimar_Republic
2	Netflix	ORG		http://dbpedia.org/resource/Netflix
2	Dark	WORK		NIL
2	Twin Peaks	WORK		http://dbpedia.org/resource/Twin_Peaks
2	Stranger Things	WORK		NIL
3	Deutschland 83	WORK		http://dbpedia.org/resource/Deutschland_83
3	Martin Rauch	PER		http://dbpedia.org/resource/List_of_Redwall_characters
3	West Germany	LOC		http://dbpedia.org/resource/West_Germany
3	Moritz Stamm	PER		NIL
3	Sundance TV	ORG		http://dbpedia.org/resource/Sundance_Film_Festival
3	U.S.	LOC		http://dbpedia.org/resource/United_States
4	The Heute Show	WORK		NIL
4	The Daily Show	WORK		http://dbpedia.org/resource/The_Daily_Show
4	Die Wochenshow	WORK		NIL
5	How To Sell Drugs Online (fast)	WORK		NIL
5	Netflix	ORG		http://dbpedia.org/resource/Netflix
5	Philipp Käßbohrer	PER		NIL
5	Matthias Murmann	PER		NIL
6	Schloss Einstein	WORK		http://dbpedia.org/resource/Schloss_Einstein
6	Albert-Einstein-Gymnasium	LOC		NIL
6	Schloss Einstein	LOC		http://dbpedia.org/resource/Schloss_Einstein
7	Tatort	WORK		http://dbpedia.org/resource/Tatort
7	Crime Scene	WORK		NIL
8	Der Tatortreiniger	WORK		NIL
8	The Crime Scene Cleaner	WORK		NIL
8	Heiko 'Schotty' Schotte	PER		NIL
8	Bjarne Mädel	PER		NIL
9	Unsere Mütter, unsere Väter	WORK		http://dbpedia.org/resource/Generation_War
9	Our Mothers, Our Fathers	WORK		http://dbpedia.org/resource/Lord's_Prayer
9	Generation War	WORK		http://dbpedia.org/resource/Generation_War
9	US	LOC		http://dbpedia.org/resource/United_States
9	UK	LOC		http://dbpedia.org/resource/United_Kingdom
9	France	LOC		http://dbpedia.org/resource/France
9	Band of Brothers	WORK		NIL
10	Switch!	WORK		http://dbpedia.org/resource/Switch
10	Switch Reloaded	WORK		NIL
10	Germany	LOC		http://dbpedia.org/resource/Germany
10	United States	LOC		http://dbpedia.org/resource/United_States
11	Anna und die Liebe	WORK		NIL
11	Anna and Love	WORK		http://dbpedia.org/resource/Anna_Windass
11	Germany	LOC		http://dbpedia.org/resource/Germany
12	Javier Mariscal	PER		http://dbpedia.org/resource/Javier_Mariscal
12	Hannover	LOC		http://dbpedia.org/resource/Hanover
13	Stromberg	WORK		NIL
13	Stromberg 	WORK		NIL
13	Gervais	PER		http://dbpedia.org/resource/Ricky_Gervais
13	Merchant	PER		NIL
13	The Office	WORK		http://dbpedia.org/resource/The_Office_(U.S._TV_series)
13	Ein Herz und eine Seele	WORK		NIL
14	Au Service de la France	WORK		http://dbpedia.org/resource/France
14	A very Secret Service	WORK		http://dbpedia.org/resource/United_States_Secret_Service
14	Jean-Francois Halin	PER		NIL
14	Arte	ORG		http://dbpedia.org/resource/Arte
14	Netflix	ORG		http://dbpedia.org/resource/Netflix
15	Higlander: The Series	WORK		NIL
15	Higlander	WORK		NIL
15	Adrian Paul	WORK		http://dbpedia.org/resource/Adrian_Paul
15	Duncan MacLeod	PER		http://dbpedia.org/resource/Duncan_MacLeod
15	Connor MacLeod	PER		http://dbpedia.org/resource/Connor_MacLeod
16	Hélène et les Garçons	PER		NIL
16	AB Productions	WORK		http://dbpedia.org/resource/AB_Groupe
16	Club Dorothée 	WORK		http://dbpedia.org/resource/Dorothée
16	TF1	ORG		http://dbpedia.org/resource/TF1
17	Ad Vitam	WORK		NIL
17	Netflix	ORG		http://dbpedia.org/resource/Netflix
17	France	LOC		http://dbpedia.org/resource/France
18	Osmosis	WORK		http://dbpedia.org/resource/Osmosis
18	Netflix	ORG		http://dbpedia.org/resource/Netflix
18	Audrey Fouché	PER		http://dbpedia.org/resource/Audrey_Roberts
19	Fort Boyard	WORK		http://dbpedia.org/resource/Fort_Boyard_(TV_series)
19	France	LOC		http://dbpedia.org/resource/France
19	United States	LOC		http://dbpedia.org/resource/United_States
19	UK	LOC		http://dbpedia.org/resource/United_Kingdom
20	The Tunnel	WORK		http://dbpedia.org/resource/The_Tunnel_(TV_series)
20	Bron|Broen	WORK		http://dbpedia.org/resource/Bron
20	The Bridge	WORK		http://dbpedia.org/resource/The_Bridge_(2011_TV_series)
20	Eurotunnel	LOC		http://dbpedia.org/resource/Getlink
20	France 	LOC		http://dbpedia.org/resource/France
20	England	LOC		http://dbpedia.org/resource/England
21	Versailles	WORK		http://dbpedia.org/resource/Palace_of_Versailles
21	King Louis XIV	PER		http://dbpedia.org/resource/Louis_XIV_of_France
